e_L                 onsite              nnhop               ospair              nnpair              
3.468               (1.17612,0)         (-1.60026,0)        (1.11949,0)         (-0.695346,0)       
3.488               (1.36813,0)         (-1.78296,0)        (1.02137,0)         (-0.606534,0)       
3.72                (1.08506,0)         (-1.54863,0)        (1.20926,0)         (-0.745686,0)       
3.6                 (1.31473,0)         (-1.81899,0)        (1.1315,0)          (-0.627242,0)       
3.296               (1.17726,0)         (-1.58817,0)        (1.10862,0)         (-0.697711,0)       
3.412               (1.27142,0)         (-1.70628,0)        (1.08503,0)         (-0.650167,0)       
3.308               (1.20975,0)         (-1.67533,0)        (1.14687,0)         (-0.681283,0)       
3.636               (1.42545,0)         (-1.91835,0)        (1.05473,0)         (-0.561823,0)       
3.588               (1.2604,0)          (-1.74549,0)        (1.137,0)           (-0.651904,0)       
3.508               (1.25035,0)         (-1.70681,0)        (1.11485,0)         (-0.658387,0)       
3.3                 (1.34654,0)         (-1.77269,0)        (1.04195,0)         (-0.615795,0)       
3.616               (1.26068,0)         (-1.73001,0)        (1.12279,0)         (-0.653455,0)       
3.416               (1.22204,0)         (-1.63285,0)        (1.09228,0)         (-0.681463,0)       
3.724               (1.32549,0)         (-1.75646,0)        (1.05637,0)         (-0.625404,0)       
3.564               (1.19006,0)         (-1.57301,0)        (1.08036,0)         (-0.697416,0)       
3.36                (1.28214,0)         (-1.72839,0)        (1.08964,0)         (-0.643395,0)       
3.492               (1.43409,0)         (-1.89568,0)        (1.0167,0)          (-0.555109,0)       
3.356               (1.24632,0)         (-1.59444,0)        (1.0264,0)          (-0.678285,0)       
3.276               (1.22101,0)         (-1.68306,0)        (1.13894,0)         (-0.676887,0)       
3.256               (1.252,0)           (-1.66194,0)        (1.07314,0)         (-0.663193,0)       
3.384               (1.13652,0)         (-1.60792,0)        (1.19045,0)         (-0.719047,0)       
3.488               (1.13751,0)         (-1.55417,0)        (1.13835,0)         (-0.721687,0)       
3.672               (1.27298,0)         (-1.79287,0)        (1.16876,0)         (-0.648879,0)       
3.368               (1.27534,0)         (-1.71008,0)        (1.08982,0)         (-0.655081,0)       
3.224               (1.23178,0)         (-1.69728,0)        (1.13739,0)         (-0.671882,0)       
3.304               (1.36022,0)         (-1.75253,0)        (1.00764,0)         (-0.615327,0)       
3.304               (1.22163,0)         (-1.68963,0)        (1.14509,0)         (-0.677082,0)       
3.476               (0.965891,0)        (-1.3707,0)         (1.22719,0)         (-0.822389,0)       
3.492               (1.05484,0)         (-1.50358,0)        (1.21394,0)         (-0.765198,0)       
3.46                (1.31491,0)         (-1.76159,0)        (1.07601,0)         (-0.629336,0)       
3.084               (1.39722,0)         (-1.86376,0)        (1.04918,0)         (-0.582647,0)       
3.504               (1.20589,0)         (-1.6719,0)         (1.1614,0)          (-0.695393,0)       
3.408               (1.02722,0)         (-1.49173,0)        (1.24898,0)         (-0.78447,0)        
3.404               (1.05805,0)         (-1.41933,0)        (1.13455,0)         (-0.773264,0)       
3.36                (1.19029,0)         (-1.59832,0)        (1.10526,0)         (-0.697226,0)       
3.532               (1.03349,0)         (-1.47616,0)        (1.21696,0)         (-0.774294,0)       
