9
e_L                 onsite              nnhop               ospair              nnJastrow           nnnJastrow          
(0.44,0)            (0.860422,0)        (-2.01373,0)        (1.38697,0)         (0.055,0)           (0.105,0)           
(-0.44,0)           (0.446212,0)        (-1.61315,0)        (1.36646,0)         (-0.055,0)          (0.125,0)           
(0.2,0)             (0.742791,0)        (-1.93139,0)        (1.41689,0)         (0.025,0)           (0.165,0)           
(0.16,0)            (0.805842,0)        (-1.94058,0)        (1.36109,0)         (0.02,0)            (0.125,0)           
(-0.44,0)           (0.553155,0)        (-1.6246,0)         (1.26711,0)         (-0.055,0)          (0.1,0)             
(0.32,0)            (0.789811,0)        (-1.91369,0)        (1.34735,0)         (0.04,0)            (0.055,0)           
(0.24,0)            (0.773782,0)        (-1.92471,0)        (1.37673,0)         (0.03,0)            (0.115,0)           
(0.16,0)            (0.674868,0)        (-1.87075,0)        (1.41927,0)         (0.02,0)            (0.115,0)           
(1.32,0)            (1.2596,0)          (-2.45811,0)        (1.4731,0)          (0.165,0)           (0.135,0)           
(0.32,0)            (0.704947,0)        (-1.89959,0)        (1.42048,0)         (0.04,0)            (0.085,0)           
(0.08,0)            (0.68941,0)         (-1.89333,0)        (1.42968,0)         (0.01,0)            (0.17,0)            
(-0.04,0)           (0.894015,0)        (-1.92147,0)        (1.24669,0)         (-0.005,0)          (0.18,0)            
(0.16,0)            (0.723919,0)        (-1.87484,0)        (1.37238,0)         (0.02,0)            (0.105,0)           
(-0.08,0)           (0.399443,0)        (-1.65365,0)        (1.46169,0)         (-0.01,0)           (0.04,0)            
(0.48,0)            (0.902543,0)        (-2.08038,0)        (1.41854,0)         (0.06,0)            (0.165,0)           
(1,0)               (1.11539,0)         (-2.33137,0)        (1.48043,0)         (0.125,0)           (0.195,0)           
(0.24,0)            (0.783614,0)        (-1.92206,0)        (1.36338,0)         (0.03,0)            (0.1,0)             
(0.52,0)            (0.919201,0)        (-2.0654,0)         (1.38398,0)         (0.065,0)           (0.115,0)           
(-0.04,0)           (0.74456,0)         (-1.87973,0)        (1.35625,0)         (-0.005,0)          (0.17,0)            
(0.24,0)            (0.911254,0)        (-2.01561,0)        (1.33569,0)         (0.03,0)            (0.18,0)            
(0.2,0)             (0.807448,0)        (-1.92519,0)        (1.34189,0)         (0.025,0)           (0.1,0)             
(0.56,0)            (0.914341,0)        (-2.10199,0)        (1.43072,0)         (0.07,0)            (0.155,0)           
(0.24,0)            (0.676132,0)        (-1.8829,0)         (1.43176,0)         (0.03,0)            (0.105,0)           
(0.52,0)            (0.884533,0)        (-2.13265,0)        (1.49692,0)         (0.065,0)           (0.2,0)             
(0.04,0)            (0.771757,0)        (-1.91595,0)        (1.36889,0)         (0.005,0)           (0.215,0)           
(0.16,0)            (0.731447,0)        (-1.91051,0)        (1.40505,0)         (0.02,0)            (0.145,0)           
(0.76,0)            (0.92054,0)         (-2.13811,0)        (1.46531,0)         (0.095,0)           (0.12,0)            
(0.08,0)            (0.625028,0)        (-1.80658,0)        (1.39863,0)         (0.01,0)            (0.08,0)            
(0.84,0)            (1.0624,0)          (-2.26252,0)        (1.45778,0)         (0.105,0)           (0.19,0)            
(0.76,0)            (1.07888,0)         (-2.24404,0)        (1.41944,0)         (0.095,0)           (0.185,0)           
(0.28,0)            (0.909776,0)        (-2.01814,0)        (1.34011,0)         (0.035,0)           (0.16,0)            
(0.32,0)            (0.780327,0)        (-1.99979,0)        (1.45527,0)         (0.04,0)            (0.175,0)           
(0.92,0)            (1.12791,0)         (-2.29333,0)        (1.424,0)           (0.115,0)           (0.155,0)           
(0.12,0)            (0.696841,0)        (-1.85195,0)        (1.37479,0)         (0.015,0)           (0.095,0)           
(0.72,0)            (0.957602,0)        (-2.18697,0)        (1.48194,0)         (0.09,0)            (0.165,0)           
(0.24,0)            (0.906866,0)        (-2.00561,0)        (1.32892,0)         (0.03,0)            (0.18,0)            
(0.56,0)            (0.864078,0)        (-2.05649,0)        (1.43177,0)         (0.07,0)            (0.12,0)            
(0.44,0)            (0.754005,0)        (-1.9702,0)         (1.44926,0)         (0.055,0)           (0.105,0)           
(0.6,0)             (1.06594,0)         (-2.155,0)          (1.33173,0)         (0.075,0)           (0.15,0)            
(0.72,0)            (0.89447,0)         (-2.11625,0)        (1.46783,0)         (0.09,0)            (0.125,0)           
(0.72,0)            (1.09734,0)         (-2.24749,0)        (1.40397,0)         (0.09,0)            (0.205,0)           
(-0.08,0)           (0.576428,0)        (-1.78251,0)        (1.42232,0)         (-0.01,0)           (0.135,0)           
(0.64,0)            (0.8049,0)          (-2.03299,0)        (1.46722,0)         (0.08,0)            (0.075,0)           
(0.24,0)            (0.676502,0)        (-1.91697,0)        (1.47013,0)         (0.03,0)            (0.135,0)           
(0.28,0)            (0.896117,0)        (-2.00242,0)        (1.33658,0)         (0.035,0)           (0.14,0)            
(0.48,0)            (0.777734,0)        (-2.01195,0)        (1.47183,0)         (0.06,0)            (0.14,0)            
(0.84,0)            (0.801886,0)        (-2.1293,0)         (1.57996,0)         (0.105,0)           (0.115,0)           
(0.84,0)            (1.06807,0)         (-2.27862,0)        (1.47015,0)         (0.105,0)           (0.195,0)           
(0.08,0)            (0.825764,0)        (-1.92698,0)        (1.32468,0)         (0.01,0)            (0.145,0)           
(0.36,0)            (0.861104,0)        (-2.06609,0)        (1.44582,0)         (0.045,0)           (0.195,0)           
(0.16,0)            (0.735569,0)        (-1.88422,0)        (1.37081,0)         (0.02,0)            (0.135,0)           
(0,0)               (0.716534,0)        (-1.83928,0)        (1.33968,0)         (0,0)               (0.13,0)            
(-0.16,0)           (0.505166,0)        (-1.72796,0)        (1.43514,0)         (-0.02,0)           (0.135,0)           
(0.44,0)            (0.889501,0)        (-2.02802,0)        (1.37266,0)         (0.055,0)           (0.105,0)           
(0.56,0)            (0.83859,0)         (-2.06114,0)        (1.46384,0)         (0.07,0)            (0.125,0)           
(0.36,0)            (0.680994,0)        (-1.92135,0)        (1.47041,0)         (0.045,0)           (0.1,0)             
(0.28,0)            (0.666916,0)        (-1.93461,0)        (1.50029,0)         (0.035,0)           (0.165,0)           
(0.6,0)             (0.958813,0)        (-2.15632,0)        (1.44581,0)         (0.075,0)           (0.185,0)           
(0.2,0)             (0.79565,0)         (-1.93958,0)        (1.37066,0)         (0.025,0)           (0.15,0)            
(0.96,0)            (1.02378,0)         (-2.30078,0)        (1.54189,0)         (0.12,0)            (0.19,0)            
(-0.32,0)           (0.544213,0)        (-1.65733,0)        (1.31375,0)         (-0.04,0)           (0.09,0)            
(0.08,0)            (0.563169,0)        (-1.78599,0)        (1.44021,0)         (0.01,0)            (0.075,0)           
(0.2,0)             (0.839397,0)        (-1.99803,0)        (1.39119,0)         (0.025,0)           (0.19,0)            
(-0.4,0)            (0.772377,0)        (-1.78045,0)        (1.21407,0)         (-0.05,0)           (0.2,0)             
(0.6,0)             (0.883165,0)        (-2.09026,0)        (1.45014,0)         (0.075,0)           (0.14,0)            
(0.36,0)            (0.709562,0)        (-1.91242,0)        (1.43022,0)         (0.045,0)           (0.085,0)           
(0.6,0)             (1.00001,0)         (-2.1893,0)         (1.44004,0)         (0.075,0)           (0.2,0)             
(0.16,0)            (0.641384,0)        (-1.87795,0)        (1.46264,0)         (0.02,0)            (0.15,0)            
(0.48,0)            (0.748324,0)        (-1.97637,0)        (1.46225,0)         (0.06,0)            (0.095,0)           
(0.2,0)             (0.695672,0)        (-1.8994,0)         (1.43,0)            (0.025,0)           (0.105,0)           
(0.28,0)            (0.62877,0)         (-1.86905,0)        (1.46578,0)         (0.035,0)           (0.08,0)            
(0.16,0)            (0.70333,0)         (-1.89274,0)        (1.41438,0)         (0.02,0)            (0.13,0)            
(0.76,0)            (0.995104,0)        (-2.22131,0)        (1.48162,0)         (0.095,0)           (0.205,0)           
(0.68,0)            (1.0171,0)          (-2.15999,0)        (1.38873,0)         (0.085,0)           (0.11,0)            
(0.68,0)            (0.85574,0)         (-2.13014,0)        (1.52432,0)         (0.085,0)           (0.15,0)            
(0.28,0)            (0.904009,0)        (-1.99668,0)        (1.32176,0)         (0.035,0)           (0.135,0)           
(0.12,0)            (0.85702,0)         (-1.94459,0)        (1.31188,0)         (0.015,0)           (0.145,0)           
(0.28,0)            (0.762957,0)        (-1.96986,0)        (1.43947,0)         (0.035,0)           (0.15,0)            
(0.04,0)            (0.576695,0)        (-1.80345,0)        (1.44586,0)         (0.005,0)           (0.14,0)            
(-0.12,0)           (0.586725,0)        (-1.69332,0)        (1.31002,0)         (-0.015,0)          (0.05,0)            
(0.4,0)             (0.847255,0)        (-1.9952,0)         (1.37972,0)         (0.05,0)            (0.105,0)           
(0.8,0)             (1.21655,0)         (-2.29683,0)        (1.33484,0)         (0.1,0)             (0.16,0)            
(0.28,0)            (0.786924,0)        (-1.97038,0)        (1.41488,0)         (0.035,0)           (0.145,0)           
(0.76,0)            (0.94347,0)         (-2.15722,0)        (1.46295,0)         (0.095,0)           (0.1,0)             
(0.16,0)            (0.706196,0)        (-1.90383,0)        (1.42398,0)         (0.02,0)            (0.17,0)            
(0.6,0)             (0.955247,0)        (-2.13708,0)        (1.42766,0)         (0.075,0)           (0.17,0)            
(0.12,0)            (0.48351,0)         (-1.74902,0)        (1.48185,0)         (0.015,0)           (0.055,0)           
(0.2,0)             (0.825258,0)        (-1.94974,0)        (1.35111,0)         (0.025,0)           (0.11,0)            
(0.8,0)             (1.1694,0)          (-2.28964,0)        (1.3762,0)          (0.1,0)             (0.195,0)           
(0.16,0)            (0.849103,0)        (-1.94919,0)        (1.32543,0)         (0.02,0)            (0.125,0)           
(0.6,0)             (1.12167,0)         (-2.18285,0)        (1.30486,0)         (0.075,0)           (0.13,0)            
(0.64,0)            (1.06693,0)         (-2.17634,0)        (1.35497,0)         (0.08,0)            (0.14,0)            
(0.76,0)            (0.91849,0)         (-2.15527,0)        (1.48698,0)         (0.095,0)           (0.155,0)           
(1,0)               (1.08954,0)         (-2.34256,0)        (1.52033,0)         (0.125,0)           (0.2,0)             
(0.16,0)            (0.684741,0)        (-1.85625,0)        (1.3924,0)          (0.02,0)            (0.095,0)           
(0.56,0)            (0.833528,0)        (-2.04452,0)        (1.45025,0)         (0.07,0)            (0.115,0)           
(0.4,0)             (0.794335,0)        (-1.95452,0)        (1.38904,0)         (0.05,0)            (0.09,0)            
(0.48,0)            (0.909379,0)        (-2.07171,0)        (1.40149,0)         (0.06,0)            (0.15,0)            
(0.2,0)             (0.772655,0)        (-1.89358,0)        (1.34249,0)         (0.025,0)           (0.095,0)           
(0.08,0)            (0.788812,0)        (-1.88999,0)        (1.32143,0)         (0.01,0)            (0.13,0)            
(0.8,0)             (0.995616,0)        (-2.18005,0)        (1.43413,0)         (0.1,0)             (0.12,0)            
(0.24,0)            (0.692818,0)        (-1.89244,0)        (1.42509,0)         (0.03,0)            (0.09,0)            
(0.04,0)            (0.743544,0)        (-1.88557,0)        (1.36397,0)         (0.005,0)           (0.16,0)            
(0.84,0)            (1.06652,0)         (-2.23159,0)        (1.41827,0)         (0.105,0)           (0.15,0)            
(0.68,0)            (0.973849,0)        (-2.15319,0)        (1.42644,0)         (0.085,0)           (0.145,0)           
(0.48,0)            (0.880662,0)        (-2.02822,0)        (1.38218,0)         (0.06,0)            (0.095,0)           
(0.56,0)            (0.910863,0)        (-2.11744,0)        (1.45195,0)         (0.07,0)            (0.165,0)           
(0.52,0)            (0.906745,0)        (-2.0894,0)         (1.42438,0)         (0.065,0)           (0.16,0)            
(0.16,0)            (0.875746,0)        (-1.94817,0)        (1.29627,0)         (0.02,0)            (0.14,0)            
(0.48,0)            (0.763494,0)        (-1.942,0)          (1.40721,0)         (0.06,0)            (0.065,0)           
(0.6,0)             (1.01103,0)         (-2.16056,0)        (1.39576,0)         (0.075,0)           (0.16,0)            
(0.68,0)            (0.902668,0)        (-2.14124,0)        (1.48764,0)         (0.085,0)           (0.13,0)            
(0.36,0)            (0.762207,0)        (-1.91762,0)        (1.38081,0)         (0.045,0)           (0.05,0)            
(0.64,0)            (1.05623,0)         (-2.21393,0)        (1.40899,0)         (0.08,0)            (0.165,0)           
(0.56,0)            (0.926054,0)        (-2.10865,0)        (1.426,0)           (0.07,0)            (0.15,0)            
(0.6,0)             (0.786687,0)        (-2.07095,0)        (1.52955,0)         (0.075,0)           (0.16,0)            
(0.72,0)            (1.08965,0)         (-2.21258,0)        (1.37233,0)         (0.09,0)            (0.15,0)            
(0.52,0)            (0.882247,0)        (-2.04198,0)        (1.39617,0)         (0.065,0)           (0.12,0)            
(-0.16,0)           (0.692955,0)        (-1.79926,0)        (1.31893,0)         (-0.02,0)           (0.16,0)            
(-0.36,0)           (0.421342,0)        (-1.60272,0)        (1.38073,0)         (-0.045,0)          (0.11,0)            
(0.52,0)            (0.92696,0)         (-2.13777,0)        (1.45817,0)         (0.065,0)           (0.205,0)           
(0.92,0)            (1.15473,0)         (-2.31865,0)        (1.42462,0)         (0.115,0)           (0.18,0)            
(0.32,0)            (0.795796,0)        (-1.98091,0)        (1.41753,0)         (0.04,0)            (0.135,0)           
(0.76,0)            (1.13197,0)         (-2.30268,0)        (1.43037,0)         (0.095,0)           (0.23,0)            
(0.4,0)             (0.970993,0)        (-2.09954,0)        (1.3684,0)          (0.05,0)            (0.18,0)            
(0.6,0)             (1.06916,0)         (-2.21223,0)        (1.39346,0)         (0.075,0)           (0.21,0)            
(0.52,0)            (0.9969,0)          (-2.15458,0)        (1.40381,0)         (0.065,0)           (0.2,0)             
(0.72,0)            (1.02016,0)         (-2.21948,0)        (1.4532,0)          (0.09,0)            (0.195,0)           
(0.36,0)            (0.692013,0)        (-1.92615,0)        (1.46428,0)         (0.045,0)           (0.075,0)           
(0.8,0)             (1.20748,0)         (-2.33656,0)        (1.38957,0)         (0.1,0)             (0.23,0)            
(0.72,0)            (1.00864,0)         (-2.22023,0)        (1.46616,0)         (0.09,0)            (0.2,0)             
(0.72,0)            (1.05585,0)         (-2.20906,0)        (1.40384,0)         (0.09,0)            (0.17,0)            
(-0.04,0)           (0.595011,0)        (-1.78799,0)        (1.40903,0)         (-0.005,0)          (0.12,0)            
(0.84,0)            (1.05695,0)         (-2.27442,0)        (1.47705,0)         (0.105,0)           (0.195,0)           
(0.56,0)            (1.01305,0)         (-2.1622,0)         (1.39551,0)         (0.07,0)            (0.19,0)            
(0.52,0)            (0.802447,0)        (-2.02559,0)        (1.46138,0)         (0.065,0)           (0.12,0)            
(0.32,0)            (0.771173,0)        (-1.9877,0)         (1.45113,0)         (0.04,0)            (0.17,0)            
(0.84,0)            (1.0837,0)          (-2.27693,0)        (1.45179,0)         (0.105,0)           (0.195,0)           
(0.76,0)            (0.798489,0)        (-2.07312,0)        (1.51961,0)         (0.095,0)           (0.095,0)           
(0.56,0)            (0.858384,0)        (-2.07,0)           (1.45312,0)         (0.07,0)            (0.13,0)            
(0.56,0)            (0.955554,0)        (-2.09954,0)        (1.38463,0)         (0.07,0)            (0.125,0)           
(0.48,0)            (1.08336,0)         (-2.20486,0)        (1.37016,0)         (0.06,0)            (0.255,0)           
(0.6,0)             (0.787859,0)        (-2.03752,0)        (1.49028,0)         (0.075,0)           (0.105,0)           
(0.4,0)             (0.761037,0)        (-2.00891,0)        (1.48591,0)         (0.05,0)            (0.165,0)           
