17
e_L                 onsite              nnhop               ospair              nnJastrow           nnnJastrow          
(-0.44,0)           (0.717757,0)        (-1.91751,0)        (1.61373,0)         (-0.055,0)          (0.29,0)            
(-0.04,0)           (1.08775,0)         (-2.15277,0)        (1.50504,0)         (-0.005,0)          (0.275,0)           
(-1.04,0)           (0.51647,0)         (-1.63143,0)        (1.47544,0)         (-0.13,0)           (0.25,0)            
(-0.2,0)            (0.742537,0)        (-1.96588,0)        (1.64718,0)         (-0.025,0)          (0.245,0)           
(-1.32,0)           (0.55216,0)         (-1.54352,0)        (1.32684,0)         (-0.165,0)          (0.265,0)           
(-0.88,0)           (0.630871,0)        (-1.70006,0)        (1.4367,0)          (-0.11,0)           (0.265,0)           
(-0.72,0)           (0.780896,0)        (-1.83073,0)        (1.43668,0)         (-0.09,0)           (0.28,0)            
(-0.56,0)           (0.749208,0)        (-1.8472,0)         (1.49172,0)         (-0.07,0)           (0.25,0)            
(-0.36,0)           (0.584913,0)        (-1.82651,0)        (1.64461,0)         (-0.045,0)          (0.245,0)           
(-0.32,0)           (0.833764,0)        (-1.92947,0)        (1.50248,0)         (-0.04,0)           (0.195,0)           
(-0.48,0)           (0.802119,0)        (-1.87264,0)        (1.46593,0)         (-0.06,0)           (0.235,0)           
(-1.12,0)           (0.713571,0)        (-1.67547,0)        (1.31603,0)         (-0.14,0)           (0.285,0)           
(-0.92,0)           (0.495736,0)        (-1.5644,0)         (1.4143,0)          (-0.115,0)          (0.145,0)           
(-1.2,0)            (0.596435,0)        (-1.60295,0)        (1.3529,0)          (-0.15,0)           (0.27,0)            
(-1.32,0)           (0.411111,0)        (-1.4928,0)         (1.41695,0)         (-0.165,0)          (0.26,0)            
(-0.72,0)           (0.766397,0)        (-1.79019,0)        (1.40183,0)         (-0.09,0)           (0.245,0)           
(-1.2,0)            (0.470102,0)        (-1.49933,0)        (1.36093,0)         (-0.15,0)           (0.22,0)            
(-0.36,0)           (1.02384,0)         (-2.02754,0)        (1.41816,0)         (-0.045,0)          (0.275,0)           
(-1.4,0)            (0.511805,0)        (-1.49658,0)        (1.31212,0)         (-0.175,0)          (0.28,0)            
(-0.68,0)           (0.861115,0)        (-1.84121,0)        (1.3625,0)          (-0.085,0)          (0.25,0)            
(-0.52,0)           (0.833251,0)        (-1.93165,0)        (1.50575,0)         (-0.065,0)          (0.29,0)            
(-0.76,0)           (0.60272,0)         (-1.70878,0)        (1.47821,0)         (-0.095,0)          (0.22,0)            
(-0.56,0)           (0.701874,0)        (-1.84361,0)        (1.53872,0)         (-0.07,0)           (0.26,0)            
(-0.2,0)            (1.00856,0)         (-2.01966,0)        (1.42495,0)         (-0.025,0)          (0.21,0)            
