97
e_L                 onsite              nnhop               ospair              nnJastrow           
(1.04348,0)         (0.390824,0)        (-1.05654,0)        (0.270921,0)        (0.46,0)            
(1.05718,0)         (0.227174,0)        (-0.791867,0)       (0.271794,0)        (0.29,0)            
(1.05474,0)         (0.209642,0)        (-0.821191,0)       (0.308987,0)        (0.32,0)            
(1.04751,0)         (0.391858,0)        (-1.00015,0)        (0.23357,0)         (0.41,0)            
(1.04187,0)         (0.592228,0)        (-1.14655,0)        (0.118227,0)        (0.48,0)            
(1.04589,0)         (0.505884,0)        (-1.05149,0)        (0.147367,0)        (0.43,0)            
(1.03786,0)         (0.654099,0)        (-1.23574,0)        (0.110901,0)        (0.53,0)            
(1.04675,0)         (0.483094,0)        (-1.06363,0)        (0.179001,0)        (0.42,0)            
(1.06043,0)         (0.169983,0)        (-0.735362,0)       (0.295249,0)        (0.25,0)            
(1.0459,0)          (0.553539,0)        (-1.05745,0)        (0.101367,0)        (0.43,0)            
(1.04593,0)         (0.495733,0)        (-1.06588,0)        (0.167237,0)        (0.43,0)            
(1.04592,0)         (0.45919,0)         (-1.05517,0)        (0.198552,0)        (0.43,0)            
(1.04833,0)         (0.425804,0)        (-0.995508,0)       (0.195088,0)        (0.4,0)             
(1.05152,0)         (0.270096,0)        (-0.902079,0)       (0.297803,0)        (0.36,0)            
(1.04518,0)         (0.574734,0)        (-1.12643,0)        (0.123576,0)        (0.44,0)            
(1.04191,0)         (0.63091,0)         (-1.17395,0)        (0.0954052,0)       (0.48,0)            
(1.0435,0)          (0.540285,0)        (-1.12013,0)        (0.155547,0)        (0.46,0)            
(1.04113,0)         (0.64481,0)         (-1.18565,0)        (0.0883969,0)       (0.49,0)            
(1.05396,0)         (0.262087,0)        (-0.858548,0)       (0.278178,0)        (0.33,0)            
(1.0443,0)          (0.488855,0)        (-1.09176,0)        (0.191071,0)        (0.45,0)            
(1.04915,0)         (0.302441,0)        (-0.956422,0)       (0.298936,0)        (0.39,0)            
(1.04751,0)         (0.487276,0)        (-1.01077,0)        (0.140632,0)        (0.41,0)            
(1.04586,0)         (0.371729,0)        (-1.01411,0)        (0.263595,0)        (0.43,0)            
