onsite              nnhop               ospair              ophop               nnJastrow           nnnJastrow          
0.420796            0.831318            0.311934            0.410376            -0.207962           0.231497            
0.416297            0.857856            0.304324            0.403526            -0.214295           0.254475            
0.411931            0.886936            0.296421            0.397559            -0.220526           0.278612            
0.407559            0.920114            0.288177            0.39187             -0.22683            0.304697            
0.405129            0.948329            0.27984             0.391552            -0.230384           0.325661            
0.403301            0.977747            0.271325            0.392437            -0.233087           0.346603            
0.400984            1.01553             0.262611            0.391493            -0.23651            0.372377            
0.397674            1.06449             0.253425            0.388081            -0.241375           0.404757            
0.398013            1.10142             0.244134            0.392632            -0.240865           0.427183            
0.395109            1.17068             0.234461            0.389066            -0.245307           0.467561            
0.395718            1.23122             0.224388            0.392578            -0.244365           0.499685            
0.398514            1.28777             0.213994            0.399692            -0.240008           0.52804             
0.4016              1.35865             0.203238            0.406093            -0.235149           0.561789            
0.405267            1.43882             0.19206             0.41259             -0.229422           0.598819            
0.411117            1.52249             0.180671            0.421646            -0.220179           0.634667            
0.418708            1.6094              0.169064            0.432377            -0.208247           0.67022             
0.427999            1.70631             0.156548            0.444417            -0.19358            0.708593            
0.439208            1.79985             0.143872            0.457988            -0.176259           0.745014            
0.452609            1.87754             0.130964            0.473914            -0.155963           0.775498            
