3
e_L                 onsite              nnhop               ospair              nnJastrow           nnnJastrow          
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-7.96,0)           (-0.177732,0)       (0.023675,0)        (0.0428145,0)       (-0.995,0)          (0.995,0)           
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
(-8,0)              (-0.18083,0)        (0.0257896,0)       (0.0419926,0)       (-1,0)              (1,0)               
