onsite              nnhop               ospair              nnpair              
0.2                 0.3                 0.4                 0.4                 
0.200001            0.300003            0.399996            0.399985            
0.200003            0.30001             0.399998            0.399976            
0.200005            0.300015            0.399997            0.399965            
0.200007            0.300019            0.399995            0.399952            
0.200002            0.300009            0.399971            0.399915            
0.200004            0.300015            0.399971            0.399904            
0.20001             0.30003             0.399984            0.399909            
0.200011            0.300034            0.399982            0.399896            
0.200009            0.300031            0.399969            0.399871            
0.200013            0.30004             0.399974            0.399866            
0.200015            0.300047            0.399976            0.399857            
0.200012            0.300042            0.399959            0.399828            
0.200015            0.300049            0.399962            0.39982             
0.200017            0.300054            0.399961            0.399809            
0.200018            0.300057            0.399956            0.399793            
0.200018            0.300059            0.399951            0.399777            
0.20002             0.300064            0.39995             0.399765            
0.200025            0.300078            0.399962            0.399768            
0.200027            0.300083            0.399962            0.399757            
0.200038            0.30011             0.399994            0.399783            
0.20004             0.300115            0.399992            0.39977             
0.200042            0.30012             0.399992            0.399759            
0.200045            0.300128            0.399995            0.399752            
0.200048            0.300137            0.4                 0.399747            
0.200045            0.300132            0.399983            0.399718            
0.200046            0.300135            0.399979            0.399702            
0.200046            0.300135            0.399971            0.399682            
0.200047            0.300139            0.399969            0.39967             
0.200049            0.300143            0.399966            0.399657            
0.200001            0.300036            0.399793            0.399454            
0.200004            0.300044            0.399797            0.399447            
0.200006            0.300049            0.399796            0.399436            
0.20001             0.30006             0.399804            0.399434            
0.200013            0.300069            0.399809            0.399429            
0.200016            0.300077            0.399812            0.399423            
0.200018            0.300082            0.399812            0.399412            
0.200027            0.300103            0.399835            0.399426            
0.200026            0.300102            0.399825            0.399404            
0.200031            0.300116            0.399837            0.399408            
0.200034            0.300123            0.399839            0.399399            
0.200036            0.300128            0.399838            0.399387            
0.200037            0.300131            0.399835            0.399374            
0.200038            0.300134            0.399831            0.399359            
0.200038            0.300136            0.399824            0.39934             
0.200042            0.300147            0.399832            0.399339            
0.200059            0.300186            0.399883            0.399385            
0.204278            0.309791            0.414524            0.415631            
0.204281            0.309797            0.414524            0.41562             
0.204283            0.309803            0.414524            0.415608            
0.204284            0.309808            0.414523            0.415595            
0.204289            0.309819            0.414529            0.415591            
0.204297            0.30984             0.414552            0.415605            
0.204295            0.309837            0.414538            0.415578            
0.204293            0.309832            0.414521            0.415548            
0.204285            0.309816            0.414487            0.415499            
0.204288            0.309823            0.414488            0.415489            
0.204292            0.309833            0.414495            0.415485            
0.204294            0.309839            0.414495            0.415474            
0.204279            0.309806            0.414435            0.415396            
0.204281            0.309811            0.414434            0.415383            
0.204282            0.309814            0.414429            0.415366            
0.204284            0.309821            0.414429            0.415355            
0.20429             0.309835            0.414442            0.415358            
0.20429             0.309837            0.414436            0.41534             
0.204292            0.309842            0.414434            0.415327            
0.204294            0.309847            0.414433            0.415314            
0.204296            0.309853            0.414432            0.415301            
0.204277            0.309811            0.414359            0.415209            
0.204281            0.30982             0.414363            0.415202            
0.204281            0.309821            0.414355            0.415182            
0.204283            0.309827            0.414355            0.415171            
0.204283            0.309828            0.414348            0.415151            
0.204288            0.309841            0.414358            0.415152            
0.20429             0.309848            0.414359            0.415141            
0.204294            0.309856            0.414362            0.415133            
0.204293            0.309855            0.414351            0.415109            
0.204295            0.309861            0.414351            0.415098            
0.204298            0.309869            0.414353            0.415089            
0.204302            0.309881            0.414362            0.415088            
0.204319            0.309921            0.414414            0.415134            
0.204317            0.309918            0.4144              0.415107            
0.204319            0.309923            0.414398            0.415094            
0.204324            0.309936            0.41441             0.415095            
0.20433             0.30995             0.414421            0.415097            
0.204331            0.309954            0.414418            0.415082            
0.204333            0.30996             0.414418            0.415071            
0.204345            0.309989            0.414452            0.415097            
0.204347            0.309994            0.414451            0.415085            
0.204348            0.309998            0.414448            0.415069            
0.204352            0.310008            0.414453            0.415064            
0.204355            0.310015            0.414455            0.415054            
0.204353            0.310011            0.41444             0.415026            
0.204353            0.310013            0.414434            0.415009            
0.204353            0.310015            0.414427            0.41499             
0.204355            0.31002             0.414425            0.414976            
0.204359            0.31003             0.41443             0.414971            
0.204365            0.310046            0.414446            0.414977            
0.204366            0.310049            0.414442            0.414961            
0.204368            0.310054            0.41444             0.414948            
