onsite              nnhop               ospair              nnpair              
0.556794            0.903616            0.0836777           0.321394            
0.556246            0.90328             0.0829538           0.319729            
0.552346            0.896789            0.081511            0.315842            
0.542637            0.879617            0.0789244           0.308225            
0.542972            0.880879            0.0784529           0.307281            
0.541785            0.879304            0.0776718           0.305301            
0.541654            0.879679            0.0771271           0.304047            
0.574551            0.94146             0.0832072           0.324399            
0.575414            0.943792            0.0827699           0.323652            
0.576362            0.946172            0.0823999           0.322845            
0.588395            0.969619            0.0842249           0.329312            
0.587775            0.969068            0.0834833           0.327479            
0.587971            0.970024            0.0829421           0.326108            
0.58848             0.971664            0.0824388           0.325062            
0.588237            0.971807            0.0818208           0.323482            
0.586792            0.969659            0.0809727           0.321174            
0.586802            0.970302            0.0804151           0.319807            
0.587886            0.972974            0.0801138           0.319068            
0.586011            0.969902            0.079208            0.316473            
0.585092            0.968698            0.0785028           0.314532            
0.57808             0.955507            0.0766793           0.308759            
0.57816             0.956224            0.0762139           0.307489            
0.578224            0.956899            0.075752            0.306215            
0.585497            0.971801            0.0766587           0.309479            
0.589568            0.980439            0.0769351           0.310703            
0.586775            0.975355            0.0759615           0.307518            
0.585526            0.973362            0.0752879           0.305375            
0.585011            0.972866            0.0747434           0.303752            
0.58351             0.970352            0.0740327           0.301491            
0.583632            0.971112            0.0736314           0.300272            
0.583259            0.970894            0.0731379           0.298774            
0.583327            0.971546            0.0727249           0.297557            
0.585968            0.977435            0.0727643           0.297932            
0.588136            0.98235             0.0727384           0.297972            
0.58742             0.981359            0.0722132           0.296213            
0.586422            0.979805            0.0716384           0.294352            
0.584055            0.975372            0.0708553           0.291592            
0.58335             0.97438             0.0703553           0.289902            
0.58172             0.971445            0.069722            0.287644            
0.582285            0.97308             0.0694509           0.286752            
0.582319            0.973601            0.0691048           0.285533            
0.587505            0.984896            0.0695839           0.287472            
0.587949            0.986237            0.0693112           0.286452            
0.607692            1.02833             0.0721618           0.297242            
0.607952            1.02931             0.0718113           0.296036            
0.608839            1.03166             0.0715546           0.295249            
0.609017            1.03245             0.0712065           0.29399             
0.611419            1.038               0.0712266           0.294064            
0.611814            1.03925             0.0709223           0.292932            
0.61337             1.043               0.0708038           0.292497            
0.614075            1.04491             0.0705532           0.291556            
0.612768            1.04246             0.0699825           0.289438            
0.612533            1.04232             0.0695905           0.287951            
0.612475            1.04257             0.0692358           0.286593            
0.610346            1.03826             0.0685677           0.284014            
0.609457            1.03667             0.0681015           0.282182            
0.613889            1.04678             0.068453            0.283488            
0.613052            1.04528             0.067995            0.281683            
0.612187            1.04369             0.0675353           0.279872            
0.613204            1.04629             0.0673697           0.279178            
0.614189            1.04882             0.0672066           0.278466            
0.61392             1.04856             0.0668516           0.277034            
0.613884            1.0488              0.066539            0.275742            
0.614985            1.05158             0.0664023           0.275102            
0.614452            1.05069             0.0660282           0.273516            
0.614944            1.05211             0.0658074           0.27255             
0.616692            1.05637             0.0657655           0.272318            
0.618551            1.06088             0.0657387           0.272132            
0.606327            1.0334              0.063708            0.263941            
0.606107            1.03321             0.0634048           0.262644            
0.606177            1.03368             0.0631516           0.261508            
0.606291            1.03424             0.0629045           0.26042             
0.608752            1.04013             0.0629889           0.260651            
0.608784            1.04049             0.0627338           0.259516            
0.620292            1.06703             0.0640682           0.264764            
0.620436            1.06763             0.0638102           0.263638            
0.620571            1.0682              0.0635606           0.262508            
0.620445            1.06817             0.0632753           0.26125             
0.620547            1.06867             0.0630236           0.260122            
0.620945            1.06985             0.0628152           0.25916             
0.621841            1.07217             0.062678            0.258472            
0.621929            1.0726              0.0624379           0.257339            
0.622119            1.07329             0.0622049           0.256274            
