38
e_L                 onsite              nnhop               ospair              ophop               nnJastrow           nnnJastrow          
(0.968427,0)        (0.182176,0)        (-0.302602,0)       (0.60224,0)         (-0.418353,0)       (0.1,0)             (0.25,0)            
(1.04401,0)         (0.20564,0)         (-0.370137,0)       (0.594088,0)        (-0.354825,0)       (0.22,0)            (0.16,0)            
(0.969285,0)        (0.223043,0)        (-0.408445,0)       (0.604356,0)        (-0.337538,0)       (0.2,0)             (0.34,0)            
(0.993817,0)        (0.0799455,0)       (-0.326472,0)       (0.731935,0)        (-0.411964,0)       (0.13,0)            (0.23,0)            
(0.961108,0)        (0.282821,0)        (-0.350846,0)       (0.503631,0)        (-0.368432,0)       (0.15,0)            (0.3,0)             
(0.91259,0)         (0.14738,0)         (-0.294147,0)       (0.629165,0)        (-0.418912,0)       (0.06,0)            (0.36,0)            
(0.973391,0)        (0.166,0)           (-0.323422,0)       (0.632026,0)        (-0.406292,0)       (0.12,0)            (0.26,0)            
(0.9876,0)          (0.35644,0)         (-0.476756,0)       (0.5337,0)          (-0.324868,0)       (0.25,0)            (0.34,0)            
(0.977753,0)        (0.26172,0)         (-0.397343,0)       (0.551835,0)        (-0.339024,0)       (0.2,0)             (0.31,0)            
(0.998422,0)        (0.263721,0)        (-0.386635,0)       (0.580443,0)        (-0.38165,0)        (0.18,0)            (0.25,0)            
(0.991625,0)        (0.215297,0)        (-0.384703,0)       (0.620652,0)        (-0.373505,0)       (0.18,0)            (0.27,0)            
(0.953082,0)        (0.151757,0)        (-0.334612,0)       (0.662927,0)        (-0.40866,0)        (0.11,0)            (0.31,0)            
(0.996392,0)        (0.332637,0)        (-0.409142,0)       (0.502804,0)        (-0.35,0)           (0.21,0)            (0.27,0)            
(0.964762,0)        (0.146832,0)        (-0.36029,0)        (0.681345,0)        (-0.391312,0)       (0.14,0)            (0.31,0)            
(1.01975,0)         (0.322786,0)        (-0.460498,0)       (0.53964,0)         (-0.315304,0)       (0.27,0)            (0.27,0)            
(1.02085,0)         (0.428245,0)        (-0.547604,0)       (0.485676,0)        (-0.268101,0)       (0.34,0)            (0.33,0)            
(0.986255,0)        (0.280243,0)        (-0.4283,0)         (0.58286,0)         (-0.35183,0)        (0.21,0)            (0.31,0)            
(0.9633,0)          (0.194397,0)        (-0.302571,0)       (0.584472,0)        (-0.413577,0)       (0.1,0)             (0.26,0)            
(0.985849,0)        (0.282087,0)        (-0.48276,0)        (0.605296,0)        (-0.31141,0)        (0.26,0)            (0.36,0)            
(0.990442,0)        (0.166519,0)        (-0.320437,0)       (0.642572,0)        (-0.420646,0)       (0.12,0)            (0.22,0)            
(0.989027,0)        (0.329029,0)        (-0.492415,0)       (0.547025,0)        (-0.291283,0)       (0.28,0)            (0.36,0)            
(0.961305,0)        (0.24316,0)         (-0.367139,0)       (0.590381,0)        (-0.393247,0)       (0.14,0)            (0.31,0)            
(0.984549,0)        (0.263216,0)        (-0.389318,0)       (0.542068,0)        (-0.340483,0)       (0.2,0)             (0.29,0)            
(1.01304,0)         (0.288072,0)        (-0.450661,0)       (0.566229,0)        (-0.317248,0)       (0.26,0)            (0.28,0)            
(0.998584,0)        (0.220749,0)        (-0.35589,0)        (0.598867,0)        (-0.391801,0)       (0.16,0)            (0.23,0)            
(1.00932,0)         (0.0673926,0)       (-0.263717,0)       (0.689671,0)        (-0.431808,0)       (0.1,0)             (0.15,0)            
(0.988771,0)        (0.152803,0)        (-0.328493,0)       (0.670106,0)        (-0.423963,0)       (0.12,0)            (0.23,0)            
(0.983285,0)        (0.200729,0)        (-0.332957,0)       (0.577608,0)        (-0.377535,0)       (0.15,0)            (0.25,0)            
(0.944174,0)        (0.275859,0)        (-0.387985,0)       (0.563012,0)        (-0.375488,0)       (0.15,0)            (0.36,0)            
(0.972046,0)        (0.136731,0)        (-0.284922,0)       (0.650744,0)        (-0.439939,0)       (0.08,0)            (0.23,0)            
(0.987681,0)        (0.299759,0)        (-0.453916,0)       (0.565743,0)        (-0.32493,0)        (0.24,0)            (0.33,0)            
(1.01364,0)         (0.223104,0)        (-0.407516,0)       (0.645764,0)        (-0.379141,0)       (0.2,0)             (0.24,0)            
(1.00152,0)         (0.250026,0)        (-0.394238,0)       (0.566234,0)        (-0.344748,0)       (0.21,0)            (0.26,0)            
(0.999164,0)        (0.357958,0)        (-0.468279,0)       (0.48219,0)         (-0.28611,0)        (0.28,0)            (0.32,0)            
(1.00163,0)         (0.220119,0)        (-0.423414,0)       (0.651383,0)        (-0.362816,0)       (0.21,0)            (0.28,0)            
(0.969285,0)        (0.26997,0)         (-0.418401,0)       (0.573915,0)        (-0.344223,0)       (0.2,0)             (0.34,0)            
(0.982264,0)        (0.108979,0)        (-0.237946,0)       (0.617952,0)        (-0.434828,0)       (0.07,0)            (0.18,0)            
(1.00261,0)         (0.103069,0)        (-0.268815,0)       (0.670597,0)        (-0.44378,0)        (0.09,0)            (0.16,0)            
(1.00379,0)         (0.0814564,0)       (-0.318146,0)       (0.69434,0)         (-0.386611,0)       (0.15,0)            (0.21,0)            
(0.997285,0)        (0.178415,0)        (-0.257469,0)       (0.550859,0)        (-0.417532,0)       (0.1,0)             (0.16,0)            
(0.963381,0)        (0.184643,0)        (-0.289688,0)       (0.586074,0)        (-0.420324,0)       (0.09,0)            (0.25,0)            
(0.984874,0)        (0.271127,0)        (-0.347741,0)       (0.518031,0)        (-0.374157,0)       (0.16,0)            (0.25,0)            
(0.978356,0)        (0.173288,0)        (-0.349219,0)       (0.64659,0)         (-0.397574,0)       (0.14,0)            (0.27,0)            
(0.966235,0)        (0.223674,0)        (-0.34092,0)        (0.55184,0)         (-0.366523,0)       (0.15,0)            (0.29,0)            
(0.982879,0)        (0.31989,0)         (-0.412308,0)       (0.523939,0)        (-0.353828,0)       (0.2,0)             (0.3,0)             
(0.976163,0)        (0.238249,0)        (-0.392515,0)       (0.58097,0)         (-0.349087,0)       (0.19,0)            (0.31,0)            
(0.992205,0)        (0.399434,0)        (-0.507049,0)       (0.473534,0)        (-0.274499,0)       (0.3,0)             (0.36,0)            
(0.963787,0)        (0.0889449,0)       (-0.215315,0)       (0.624522,0)        (-0.447374,0)       (0.04,0)            (0.2,0)             
(0.968508,0)        (0.172422,0)        (-0.289719,0)       (0.603841,0)        (-0.4251,0)         (0.09,0)            (0.24,0)            
(0.976001,0)        (0.328148,0)        (-0.433217,0)       (0.532105,0)        (-0.345621,0)       (0.21,0)            (0.33,0)            
(0.968265,0)        (0.225148,0)        (-0.333347,0)       (0.583816,0)        (-0.408201,0)       (0.12,0)            (0.27,0)            
(1.00932,0)         (0.11432,0)         (-0.273673,0)       (0.659229,0)        (-0.438493,0)       (0.1,0)             (0.15,0)            
(0.973113,0)        (0.145025,0)        (-0.305077,0)       (0.589337,0)        (-0.364702,0)       (0.14,0)            (0.26,0)            
(1.02992,0)         (0.331563,0)        (-0.478421,0)       (0.558352,0)        (-0.321451,0)       (0.28,0)            (0.26,0)            
(0.946691,0)        (0.101491,0)        (-0.278221,0)       (0.6807,0)          (-0.440936,0)       (0.06,0)            (0.28,0)            
(0.992854,0)        (0.274474,0)        (-0.394026,0)       (0.516785,0)        (-0.32179,0)        (0.22,0)            (0.28,0)            
(1.01352,0)         (0.253011,0)        (-0.378339,0)       (0.560615,0)        (-0.361073,0)       (0.2,0)             (0.22,0)            
(0.976569,0)        (0.212942,0)        (-0.333077,0)       (0.573755,0)        (-0.386165,0)       (0.14,0)            (0.26,0)            
(1.03249,0)         (0.261448,0)        (-0.333628,0)       (0.53321,0)         (-0.395695,0)       (0.17,0)            (0.14,0)            
(1.02109,0)         (0.0996403,0)       (-0.286468,0)       (0.679248,0)        (-0.427892,0)       (0.12,0)            (0.14,0)            
(0.980965,0)        (0.335436,0)        (-0.459014,0)       (0.546669,0)        (-0.336903,0)       (0.23,0)            (0.34,0)            
(0.993457,0)        (0.186042,0)        (-0.345902,0)       (0.611541,0)        (-0.38034,0)        (0.16,0)            (0.24,0)            
(0.945925,0)        (0.256358,0)        (-0.362068,0)       (0.5523,0)          (-0.375577,0)       (0.14,0)            (0.34,0)            
(0.962894,0)        (0.172776,0)        (-0.352053,0)       (0.622129,0)        (-0.369813,0)       (0.15,0)            (0.31,0)            
(1.00017,0)         (0.24422,0)         (-0.360717,0)       (0.569731,0)        (-0.381738,0)       (0.17,0)            (0.23,0)            
(1.00209,0)         (0.205211,0)        (-0.309033,0)       (0.562222,0)        (-0.39532,0)        (0.14,0)            (0.19,0)            
(0.953209,0)        (0.105475,0)        (-0.25683,0)        (0.613024,0)        (-0.404148,0)       (0.08,0)            (0.26,0)            
(1.03216,0)         (0.300465,0)        (-0.385161,0)       (0.526805,0)        (-0.368707,0)       (0.21,0)            (0.18,0)            
(1.0163,0)          (0.372187,0)        (-0.45739,0)        (0.479117,0)        (-0.310554,0)       (0.27,0)            (0.27,0)            
(0.988609,0)        (0.148847,0)        (-0.349281,0)       (0.682125,0)        (-0.407126,0)       (0.14,0)            (0.25,0)            
(0.959681,0)        (0.192915,0)        (-0.310295,0)       (0.566411,0)        (-0.385305,0)       (0.12,0)            (0.28,0)            
(0.986301,0)        (0.290642,0)        (-0.373357,0)       (0.500914,0)        (-0.347257,0)       (0.19,0)            (0.27,0)            
(1.03594,0)         (0.0947294,0)       (-0.311844,0)       (0.669837,0)        (-0.383732,0)       (0.17,0)            (0.14,0)            
(0.924595,0)        (0.150365,0)        (-0.278248,0)       (0.623545,0)        (-0.435237,0)       (0.05,0)            (0.32,0)            
(1.01218,0)         (0.200278,0)        (-0.334862,0)       (0.594554,0)        (-0.391378,0)       (0.16,0)            (0.19,0)            
(0.998097,0)        (0.232346,0)        (-0.423233,0)       (0.619701,0)        (-0.344634,0)       (0.22,0)            (0.29,0)            
(0.969448,0)        (0.203535,0)        (-0.382678,0)       (0.607559,0)        (-0.351032,0)       (0.18,0)            (0.32,0)            
(0.976569,0)        (0.212942,0)        (-0.333077,0)       (0.573755,0)        (-0.386165,0)       (0.14,0)            (0.26,0)            
(0.965005,0)        (0.11757,0)         (-0.32164,0)        (0.686149,0)        (-0.411553,0)       (0.11,0)            (0.28,0)            
(1.02597,0)         (0.187073,0)        (-0.340084,0)       (0.646549,0)        (-0.422455,0)       (0.15,0)            (0.16,0)            
(1.04417,0)         (0.162668,0)        (-0.339392,0)       (0.612512,0)        (-0.364977,0)       (0.2,0)             (0.14,0)            
(1.00111,0)         (0.345723,0)        (-0.468611,0)       (0.527786,0)        (-0.317698,0)       (0.26,0)            (0.31,0)            
(1.01901,0)         (0.181621,0)        (-0.368897,0)       (0.668334,0)        (-0.404158,0)       (0.17,0)            (0.2,0)             
(0.952885,0)        (0.0506371,0)       (-0.28845,0)        (0.667503,0)        (-0.363789,0)       (0.12,0)            (0.3,0)             
(0.962813,0)        (0.229458,0)        (-0.374893,0)       (0.590086,0)        (-0.369752,0)       (0.16,0)            (0.32,0)            
(0.988168,0)        (0.264698,0)        (-0.381594,0)       (0.56013,0)         (-0.368755,0)       (0.18,0)            (0.27,0)            
(0.967534,0)        (0.289471,0)        (-0.444319,0)       (0.584626,0)        (-0.344135,0)       (0.21,0)            (0.36,0)            
(0.951052,0)        (0.220674,0)        (-0.35712,0)        (0.585288,0)        (-0.37701,0)        (0.14,0)            (0.33,0)            
(0.988934,0)        (0.133294,0)        (-0.302726,0)       (0.673309,0)        (-0.437457,0)       (0.1,0)             (0.21,0)            
(0.975143,0)        (0.193427,0)        (-0.307461,0)       (0.590872,0)        (-0.413065,0)       (0.11,0)            (0.24,0)            
(1.01197,0)         (0.185924,0)        (-0.410593,0)       (0.688519,0)        (-0.379115,0)       (0.2,0)             (0.25,0)            
(1.00375,0)         (0.164912,0)        (-0.393002,0)       (0.715402,0)        (-0.404555,0)       (0.17,0)            (0.25,0)            
(0.992773,0)        (0.378082,0)        (-0.426822,0)       (0.4543,0)          (-0.328413,0)       (0.23,0)            (0.29,0)            
(1.02386,0)         (0.195353,0)        (-0.36054,0)        (0.612972,0)        (-0.37403,0)        (0.19,0)            (0.19,0)            
(1.02044,0)         (0.2246,0)          (-0.399491,0)       (0.635997,0)        (-0.380601,0)       (0.2,0)             (0.22,0)            
(0.985976,0)        (0.259268,0)        (-0.409955,0)       (0.540172,0)        (-0.310241,0)       (0.23,0)            (0.31,0)            
(0.982879,0)        (0.226036,0)        (-0.392395,0)       (0.584823,0)        (-0.340457,0)       (0.2,0)             (0.3,0)             
(0.995046,0)        (0.232977,0)        (-0.355708,0)       (0.567185,0)        (-0.373619,0)       (0.17,0)            (0.24,0)            
(0.989514,0)        (0.293968,0)        (-0.420094,0)       (0.541412,0)        (-0.335108,0)       (0.22,0)            (0.3,0)             
(1.00697,0)         (0.245716,0)        (-0.352693,0)       (0.559964,0)        (-0.383198,0)       (0.17,0)            (0.21,0)            
(0.959554,0)        (0.19227,0)         (-0.378121,0)       (0.646756,0)        (-0.383131,0)       (0.15,0)            (0.33,0)            
(1.01958,0)         (0.0429518,0)       (-0.263779,0)       (0.725206,0)        (-0.44136,0)        (0.1,0)             (0.13,0)            
(0.958939,0)        (0.0752136,0)       (-0.223672,0)       (0.679884,0)        (-0.477502,0)       (0.02,0)            (0.21,0)            
(1.01714,0)         (0.231029,0)        (-0.365638,0)       (0.593898,0)        (-0.386003,0)       (0.18,0)            (0.2,0)             
(0.957768,0)        (0.278851,0)        (-0.371935,0)       (0.543478,0)        (-0.378408,0)       (0.15,0)            (0.32,0)            
(0.97868,0)         (0.110808,0)        (-0.292708,0)       (0.668216,0)        (-0.421219,0)       (0.1,0)             (0.23,0)            
(0.969285,0)        (0.293434,0)        (-0.42338,0)        (0.558694,0)        (-0.347566,0)       (0.2,0)             (0.34,0)            
(1.02036,0)         (0.210891,0)        (-0.407396,0)       (0.649616,0)        (-0.370511,0)       (0.21,0)            (0.23,0)            
(0.956422,0)        (0.202654,0)        (-0.323479,0)       (0.592638,0)        (-0.40537,0)        (0.11,0)            (0.29,0)            
(0.947712,0)        (0.240167,0)        (-0.383188,0)       (0.609914,0)        (-0.390328,0)       (0.14,0)            (0.35,0)            
(0.947758,0)        (0.227103,0)        (-0.323267,0)       (0.543189,0)        (-0.382412,0)       (0.12,0)            (0.31,0)            
(0.982636,0)        (0.349152,0)        (-0.450958,0)       (0.519135,0)        (-0.333586,0)       (0.23,0)            (0.33,0)            
(0.981534,0)        (0.267157,0)        (-0.368831,0)       (0.557878,0)        (-0.384132,0)       (0.16,0)            (0.27,0)            
(0.988771,0)        (0.152803,0)        (-0.328493,0)       (0.670106,0)        (-0.423963,0)       (0.12,0)            (0.23,0)            
(1.00017,0)         (0.197293,0)        (-0.350761,0)       (0.600173,0)        (-0.375053,0)       (0.17,0)            (0.23,0)            
(1.00917,0)         (0.386243,0)        (-0.511969,0)       (0.4977,0)          (-0.278763,0)       (0.31,0)            (0.33,0)            
(0.989757,0)        (0.311632,0)        (-0.3914,0)         (0.515773,0)        (-0.362034,0)       (0.19,0)            (0.27,0)            
(0.977265,0)        (0.367172,0)        (-0.484599,0)       (0.511785,0)        (-0.305227,0)       (0.26,0)            (0.37,0)            
(0.996717,0)        (0.246693,0)        (-0.347652,0)       (0.539651,0)        (-0.370303,0)       (0.17,0)            (0.23,0)            
(1.02191,0)         (0.231051,0)        (-0.365186,0)       (0.552155,0)        (-0.345784,0)       (0.21,0)            (0.2,0)             
(0.976001,0)        (0.234294,0)        (-0.413303,0)       (0.592988,0)        (-0.33225,0)        (0.21,0)            (0.33,0)            
(0.960401,0)        (0.074576,0)        (-0.291348,0)       (0.746315,0)        (-0.461923,0)       (0.06,0)            (0.26,0)            
(0.922322,0)        (0.248544,0)        (-0.339405,0)       (0.541103,0)        (-0.383346,0)       (0.11,0)            (0.37,0)            
(0.997494,0)        (0.391169,0)        (-0.486291,0)       (0.479282,0)        (-0.296111,0)       (0.28,0)            (0.33,0)            
(0.981777,0)        (0.237895,0)        (-0.330181,0)       (0.562681,0)        (-0.404373,0)       (0.13,0)            (0.24,0)            
(1.00746,0)         (0.116801,0)        (-0.260458,0)       (0.615235,0)        (-0.413652,0)       (0.11,0)            (0.15,0)            
(0.972127,0)        (0.126977,0)        (-0.272039,0)       (0.652345,0)        (-0.446686,0)       (0.07,0)            (0.22,0)            
(0.97331,0)         (0.152291,0)        (-0.331327,0)       (0.645645,0)        (-0.396202,0)       (0.13,0)            (0.27,0)            
(0.991868,0)        (0.232962,0)        (-0.35601,0)        (0.595014,0)        (-0.400431,0)       (0.15,0)            (0.24,0)            
(0.969691,0)        (0.2212,0)          (-0.353985,0)       (0.581921,0)        (-0.377958,0)       (0.15,0)            (0.29,0)            
(0.991868,0)        (0.186035,0)        (-0.346053,0)       (0.625456,0)        (-0.393746,0)       (0.15,0)            (0.24,0)            
(0.993701,0)        (0.180243,0)        (-0.312231,0)       (0.601124,0)        (-0.403924,0)       (0.13,0)            (0.21,0)            
(0.986138,0)        (0.333614,0)        (-0.404102,0)       (0.48249,0)         (-0.337105,0)       (0.21,0)            (0.29,0)            
(0.974656,0)        (0.18156,0)         (-0.369826,0)       (0.626927,0)        (-0.362555,0)       (0.17,0)            (0.3,0)             
(1.00783,0)         (0.356974,0)        (-0.47347,0)        (0.516418,0)        (-0.312411,0)       (0.27,0)            (0.3,0)             
