48
e_L                 onsite              nnhop               ospair              ophop               nnJastrow           nnnJastrow          
(1.00435,0)         (0.265034,0)        (-0.405095,0)       (0.604397,0)        (-0.340228,0)       (0.2,0)             (0.26,0)            
(0.975716,0)        (0.27691,0)         (-0.408954,0)       (0.590048,0)        (-0.333945,0)       (0.19,0)            (0.31,0)            
(0.970363,0)        (0.380826,0)        (-0.448961,0)       (0.508156,0)        (-0.312647,0)       (0.22,0)            (0.34,0)            
(0.954139,0)        (0.242139,0)        (-0.339437,0)       (0.584897,0)        (-0.380057,0)       (0.12,0)            (0.29,0)            
(1.02126,0)         (0.311967,0)        (-0.418599,0)       (0.549057,0)        (-0.318873,0)       (0.23,0)            (0.24,0)            
(0.972886,0)        (0.272231,0)        (-0.43088,0)        (0.635218,0)        (-0.344735,0)       (0.19,0)            (0.33,0)            
(1.02617,0)         (0.168888,0)        (-0.271129,0)       (0.624828,0)        (-0.428113,0)       (0.1,0)             (0.12,0)            
(1.02783,0)         (0.337714,0)        (-0.415171,0)       (0.538658,0)        (-0.33959,0)        (0.22,0)            (0.22,0)            
(0.99778,0)         (0.311263,0)        (-0.422836,0)       (0.569528,0)        (-0.332305,0)       (0.21,0)            (0.28,0)            
(0.967383,0)        (0.187985,0)        (-0.30046,0)        (0.625358,0)        (-0.411621,0)       (0.09,0)            (0.24,0)            
(0.999681,0)        (0.229213,0)        (-0.339539,0)       (0.574086,0)        (-0.356455,0)       (0.16,0)            (0.22,0)            
(0.946884,0)        (0.308146,0)        (-0.438884,0)       (0.573896,0)        (-0.313285,0)       (0.2,0)             (0.38,0)            
(1.02735,0)         (0.362124,0)        (-0.475577,0)       (0.549239,0)        (-0.299383,0)       (0.27,0)            (0.27,0)            
(0.965594,0)        (0.306701,0)        (-0.386898,0)       (0.507122,0)        (-0.313156,0)       (0.19,0)            (0.31,0)            
(0.974788,0)        (0.238165,0)        (-0.357125,0)       (0.609597,0)        (-0.377415,0)       (0.14,0)            (0.27,0)            
(0.989349,0)        (0.160043,0)        (-0.313064,0)       (0.649205,0)        (-0.389998,0)       (0.12,0)            (0.22,0)            
(1.04594,0)         (0.252037,0)        (-0.406137,0)       (0.641412,0)        (-0.360774,0)       (0.21,0)            (0.19,0)            
(1.00202,0)         (0.234309,0)        (-0.373247,0)       (0.554586,0)        (-0.301193,0)       (0.21,0)            (0.25,0)            
(0.96909,0)         (0.149287,0)        (-0.248005,0)       (0.613023,0)        (-0.425659,0)       (0.06,0)            (0.2,0)             
(0.975813,0)        (0.243238,0)        (-0.391147,0)       (0.606039,0)        (-0.336869,0)       (0.18,0)            (0.3,0)             
(0.947662,0)        (0.230703,0)        (-0.3346,0)         (0.581109,0)        (-0.370793,0)       (0.12,0)            (0.3,0)             
(1.00313,0)         (0.183355,0)        (-0.378058,0)       (0.666509,0)        (-0.349338,0)       (0.18,0)            (0.25,0)            
(0.990375,0)        (0.261083,0)        (-0.366171,0)       (0.585289,0)        (-0.366511,0)       (0.16,0)            (0.25,0)            
(0.944001,0)        (0.105624,0)        (-0.277348,0)       (0.691999,0)        (-0.419447,0)       (0.06,0)            (0.27,0)            
(0.990375,0)        (0.261083,0)        (-0.366171,0)       (0.585289,0)        (-0.366511,0)       (0.16,0)            (0.25,0)            
(0.931685,0)        (0.222515,0)        (-0.372925,0)       (0.6169,0)          (-0.348678,0)       (0.14,0)            (0.36,0)            
(1.01224,0)         (0.266813,0)        (-0.396582,0)       (0.593145,0)        (-0.341964,0)       (0.2,0)             (0.24,0)            
(0.954873,0)        (0.276253,0)        (-0.412565,0)       (0.578634,0)        (-0.317945,0)       (0.19,0)            (0.35,0)            
(0.963445,0)        (0.162285,0)        (-0.303261,0)       (0.603873,0)        (-0.361472,0)       (0.12,0)            (0.26,0)            
(0.977617,0)        (0.290827,0)        (-0.344742,0)       (0.534248,0)        (-0.375154,0)       (0.14,0)            (0.25,0)            
(1.01244,0)         (0.295436,0)        (-0.380054,0)       (0.564769,0)        (-0.364871,0)       (0.18,0)            (0.22,0)            
(0.916098,0)        (0.223589,0)        (-0.36865,0)        (0.626118,0)        (-0.363847,0)       (0.12,0)            (0.38,0)            
(0.960031,0)        (0.311656,0)        (-0.422486,0)       (0.583275,0)        (-0.34619,0)        (0.18,0)            (0.34,0)            
(0.967091,0)        (0.169042,0)        (-0.330024,0)       (0.652832,0)        (-0.381526,0)       (0.12,0)            (0.27,0)            
(1.00907,0)         (0.0693401,0)       (-0.269381,0)       (0.723632,0)        (-0.422296,0)       (0.09,0)            (0.16,0)            
(0.946442,0)        (0.221,0)           (-0.321878,0)       (0.597953,0)        (-0.392698,0)       (0.1,0)             (0.29,0)            
(1.0003,0)          (0.250652,0)        (-0.414299,0)       (0.666411,0)        (-0.372923,0)       (0.18,0)            (0.27,0)            
(1.01618,0)         (0.196545,0)        (-0.374695,0)       (0.674987,0)        (-0.375054,0)       (0.17,0)            (0.22,0)            
(0.968895,0)        (0.144656,0)        (-0.269305,0)       (0.626309,0)        (-0.407017,0)       (0.08,0)            (0.22,0)            
(0.99057,0)         (0.241722,0)        (-0.3401,0)         (0.587092,0)        (-0.380888,0)       (0.14,0)            (0.23,0)            
(1.01789,0)         (0.205831,0)        (-0.331783,0)       (0.632473,0)        (-0.397622,0)       (0.14,0)            (0.18,0)            
(0.960809,0)        (0.234213,0)        (-0.318202,0)       (0.590489,0)        (-0.403698,0)       (0.1,0)             (0.26,0)            
(0.966702,0)        (0.255747,0)        (-0.391709,0)       (0.619046,0)        (-0.361301,0)       (0.16,0)            (0.31,0)            
(0.995631,0)        (0.238822,0)        (-0.353514,0)       (0.62101,0)         (-0.393415,0)       (0.14,0)            (0.23,0)            
(1.01215,0)         (0.252501,0)        (-0.404846,0)       (0.607332,0)        (-0.330511,0)       (0.21,0)            (0.25,0)            
(0.991498,0)        (0.280467,0)        (-0.391929,0)       (0.567543,0)        (-0.337418,0)       (0.19,0)            (0.27,0)            
(0.990473,0)        (0.22741,0)         (-0.348365,0)       (0.60128,0)         (-0.369435,0)       (0.15,0)            (0.24,0)            
(0.979407,0)        (0.076143,0)        (-0.239219,0)       (0.712841,0)        (-0.45656,0)        (0.04,0)            (0.18,0)            
(1.00707,0)         (0.113087,0)        (-0.356172,0)       (0.748352,0)        (-0.382428,0)       (0.15,0)            (0.23,0)            
(0.992651,0)        (-0.0020029,0)      (-0.195471,0)       (0.768391,0)        (-0.483859,0)       (0.01,0)            (0.13,0)            
(0.984633,0)        (0.379728,0)        (-0.453549,0)       (0.51488,0)         (-0.312194,0)       (0.23,0)            (0.32,0)            
(0.973178,0)        (0.267182,0)        (-0.396545,0)       (0.622834,0)        (-0.370565,0)       (0.16,0)            (0.3,0)             
(0.98053,0)         (0.119519,0)        (-0.269748,0)       (0.680006,0)        (-0.431732,0)       (0.07,0)            (0.2,0)             
(0.948149,0)        (0.230285,0)        (-0.278966,0)       (0.555439,0)        (-0.415265,0)       (0.07,0)            (0.25,0)            
(0.958826,0)        (0.348299,0)        (-0.425939,0)       (0.48554,0)         (-0.286592,0)       (0.22,0)            (0.35,0)            
(0.902951,0)        (0.292055,0)        (-0.399362,0)       (0.57147,0)         (-0.343737,0)       (0.14,0)            (0.42,0)            
(1.00971,0)         (0.233093,0)        (-0.379402,0)       (0.64102,0)         (-0.37432,0)        (0.17,0)            (0.23,0)            
(0.970363,0)        (0.284859,0)        (-0.429875,0)       (0.568514,0)        (-0.295588,0)       (0.22,0)            (0.34,0)            
(0.990278,0)        (0.198788,0)        (-0.364893,0)       (0.629656,0)        (-0.346528,0)       (0.17,0)            (0.26,0)            
(0.981945,0)        (0.0618788,0)       (-0.246856,0)       (0.695145,0)        (-0.415674,0)       (0.07,0)            (0.19,0)            
(0.923989,0)        (0.225368,0)        (-0.360138,0)       (0.614866,0)        (-0.365584,0)       (0.12,0)            (0.36,0)            
(1.01833,0)         (0.316969,0)        (-0.45356,0)        (0.593326,0)        (-0.322474,0)       (0.24,0)            (0.27,0)            
(0.925501,0)        (0.206031,0)        (-0.333753,0)       (0.600727,0)        (-0.365245,0)       (0.11,0)            (0.34,0)            
(0.926916,0)        (0.292341,0)        (-0.33949,0)        (0.525329,0)        (-0.374776,0)       (0.11,0)            (0.33,0)            
(0.960226,0)        (0.22032,0)         (-0.382101,0)       (0.630347,0)        (-0.347773,0)       (0.16,0)            (0.32,0)            
(0.961641,0)        (0.282639,0)        (-0.383066,0)       (0.570038,0)        (-0.35304,0)        (0.16,0)            (0.31,0)            
(0.965579,0)        (0.212371,0)        (-0.36118,0)        (0.651881,0)        (-0.38613,0)        (0.13,0)            (0.29,0)            
(0.974982,0)        (0.170821,0)        (-0.321512,0)       (0.641579,0)        (-0.383262,0)       (0.12,0)            (0.25,0)            
(0.936859,0)        (0.352249,0)        (-0.408564,0)       (0.476782,0)        (-0.30395,0)        (0.19,0)            (0.37,0)            
(0.967577,0)        (0.144632,0)        (-0.269618,0)       (0.642251,0)        (-0.421733,0)       (0.07,0)            (0.22,0)            
(0.982971,0)        (0.234894,0)        (-0.314278,0)       (0.58596,0)         (-0.404982,0)       (0.11,0)            (0.22,0)            
(1.01496,0)         (0.138857,0)        (-0.352431,0)       (0.72201,0)         (-0.388429,0)       (0.15,0)            (0.21,0)            
(1.02315,0)         (0.18357,0)         (-0.319126,0)       (0.668194,0)        (-0.424526,0)       (0.12,0)            (0.16,0)            
(0.970655,0)        (0.327793,0)        (-0.405083,0)       (0.525951,0)        (-0.329948,0)       (0.19,0)            (0.31,0)            
(0.954139,0)        (0.266131,0)        (-0.344208,0)       (0.569808,0)        (-0.384322,0)       (0.12,0)            (0.29,0)            
(0.991985,0)        (0.232065,0)        (-0.326752,0)       (0.572052,0)        (-0.37336,0)        (0.14,0)            (0.22,0)            
(1.03602,0)         (0.28646,0)         (-0.362781,0)       (0.5452,0)          (-0.358627,0)       (0.19,0)            (0.17,0)            
(0.991304,0)        (0.299828,0)        (-0.418,0)          (0.56574,0)         (-0.323041,0)       (0.21,0)            (0.29,0)            
(1.03226,0)         (0.123077,0)        (-0.309021,0)       (0.685367,0)        (-0.391563,0)       (0.14,0)            (0.15,0)            
(0.994994,0)        (0.075069,0)        (-0.243494,0)       (0.703623,0)        (-0.441391,0)       (0.06,0)            (0.16,0)            
(0.952184,0)        (0.102354,0)        (-0.234501,0)       (0.668362,0)        (-0.447014,0)       (0.03,0)            (0.22,0)            
(0.96325,0)         (0.301605,0)        (-0.353189,0)       (0.526622,0)        (-0.368419,0)       (0.14,0)            (0.28,0)            
(1.00795,0)         (0.0979395,0)       (-0.253166,0)       (0.711199,0)        (-0.459919,0)       (0.06,0)            (0.14,0)            
(0.995242,0)        (0.253552,0)        (-0.400885,0)       (0.632493,0)        (-0.360396,0)       (0.18,0)            (0.27,0)            
(0.966994,0)        (0.178722,0)        (-0.343059,0)       (0.65193,0)         (-0.374337,0)       (0.13,0)            (0.28,0)            
(0.957688,0)        (0.19499,0)         (-0.369134,0)       (0.236155,0)        (0.0360953,0)       (0.13,0)            (0.31,0)            
(1.00767,0)         (0.245303,0)        (-0.322762,0)       (0.548646,0)        (-0.369645,0)       (0.15,0)            (0.19,0)            
(0.962224,0)        (0.152581,0)        (-0.290539,0)       (0.620717,0)        (-0.383376,0)       (0.1,0)             (0.25,0)            
(0.9687,0)          (0.188008,0)        (-0.300147,0)       (0.609416,0)        (-0.396905,0)       (0.1,0)             (0.24,0)            
(0.918276,0)        (0.0181676,0)       (-0.220528,0)       (0.77814,0)         (-0.482536,0)       (-0.02,0)           (0.27,0)            
(0.913754,0)        (0.122526,0)        (-0.315856,0)       (0.705976,0)        (-0.40205,0)        (0.07,0)            (0.35,0)            
(1.04765,0)         (0.165356,0)        (-0.344139,0)       (0.659255,0)        (-0.366282,0)       (0.18,0)            (0.15,0)            
(0.990473,0)        (0.275394,0)        (-0.357907,0)       (0.571101,0)        (-0.377964,0)       (0.15,0)            (0.24,0)            
(0.96519,0)         (0.275084,0)        (-0.418093,0)       (0.633185,0)        (-0.36164,0)        (0.17,0)            (0.33,0)            
(0.978838,0)        (0.300531,0)        (-0.357464,0)       (0.517404,0)        (-0.35325,0)        (0.16,0)            (0.26,0)            
(0.952432,0)        (0.256845,0)        (-0.387121,0)       (0.612322,0)        (-0.361754,0)       (0.15,0)            (0.33,0)            
(1.02529,0)         (0.256011,0)        (-0.388448,0)       (0.616712,0)        (-0.363416,0)       (0.19,0)            (0.21,0)            
(1.01911,0)         (0.215535,0)        (-0.344505,0)       (0.615629,0)        (-0.375717,0)       (0.16,0)            (0.19,0)            
