14
e_L                 onsite              nnhop               ospair              nnJastrow           
(0.5,0)             (-0.0824626,0)      (-0.462476,0)       (-0.589147,0)       (-0.4,0)            
(0.5,0)             (0.0244714,0)       (-0.287945,0)       (-0.392084,0)       (-0.6,0)            
(0.5,0)             (-0.258055,0)       (-0.442861,0)       (-0.504462,0)       (-0.46,0)           
(0.5,0)             (-0.110401,0)       (-0.261909,0)       (-0.312412,0)       (-0.66,0)           
(0.5,0)             (0.116109,0)        (-0.210428,0)       (-0.319274,0)       (-0.68,0)           
(0.5,0)             (-0.0849769,0)      (-0.352503,0)       (-0.441678,0)       (-0.54,0)           
(0.5,0)             (-0.258055,0)       (-0.442861,0)       (-0.504462,0)       (-0.46,0)           
(0.5,0)             (-0.0442568,0)      (-0.346083,0)       (-0.446691,0)       (-0.54,0)           
(0.5,0)             (-0.247857,0)       (-0.378184,0)       (-0.421627,0)       (-0.54,0)           
(0.5,0)             (-0.171516,0)       (-0.397682,0)       (-0.47307,0)        (-0.5,0)            
(0.5,0)             (-0.0213474,0)      (-0.326703,0)       (-0.428489,0)       (-0.56,0)           
(0.5,0)             (-0.207137,0)       (-0.371764,0)       (-0.42664,0)        (-0.54,0)           
(0.5,0)             (0.0422821,0)       (-0.300904,0)       (-0.415299,0)       (-0.58,0)           
(0.5,0)             (-0.153705,0)       (-0.410641,0)       (-0.496286,0)       (-0.48,0)           
(0.5,0)             (-0.0569687,0)      (-0.300786,0)       (-0.382058,0)       (-0.6,0)            
(0.5,0)             (0.00407637,0)      (-0.417297,0)       (-0.557755,0)       (-0.44,0)           
(0.5,0)             (-0.0188331,0)      (-0.436676,0)       (-0.575958,0)       (-0.42,0)           
(0.5,0)             (-0.224948,0)       (-0.358805,0)       (-0.403424,0)       (-0.56,0)           
(0.5,0)             (-0.189327,0)       (-0.384723,0)       (-0.449855,0)       (-0.52,0)           
(0.5,0)             (-0.118084,0)       (-0.436558,0)       (-0.542716,0)       (-0.44,0)           
(0.5,0)             (-0.153705,0)       (-0.410641,0)       (-0.496286,0)       (-0.48,0)           
