onsite              nnhop               ospair              nnpair              
1.10451             1.83433             0.0856404           0.291234            
1.10355             1.83305             0.0852282           0.290434            
1.1017              1.82929             0.0846867           0.287999            
1.11065             1.85176             0.0852811           0.289765            
1.11156             1.85467             0.0850186           0.288389            
1.11145             1.85509             0.0846581           0.286621            
1.11118             1.85507             0.0842773           0.284812            
1.11055             1.85414             0.0838704           0.282876            
1.1091              1.85122             0.0833757           0.280679            
1.10878             1.85106             0.0830017           0.278929            
1.10939             1.85318             0.0827203           0.277539            
1.10916             1.85321             0.082366            0.275822            
1.11168             1.86016             0.0822599           0.275314            
1.10994             1.85641             0.0817605           0.273046            
1.11044             1.85823             0.0814884           0.271658            
1.11027             1.85835             0.0811533           0.270027            
1.11051             1.8595              0.0808588           0.268554            
1.11194             1.8636              0.0806822           0.267533            
1.10588             1.84902             0.0797769           0.263824            
1.10651             1.85114             0.079538            0.262559            
1.10671             1.85216             0.0792547           0.261152            
1.10705             1.85353             0.0789838           0.259797            
1.10743             1.85497             0.0787273           0.258453            
1.10684             1.85399             0.0783792           0.256794            
1.10708             1.85509             0.0781048           0.255478            
1.10718             1.85583             0.0778257           0.254085            
1.10689             1.85559             0.0775016           0.252605            
1.10771             1.85813             0.0772915           0.251496            
1.10565             1.85342             0.0768116           0.249402            
1.1057              1.85402             0.0765287           0.248075            
1.10434             1.85107             0.076121            0.246265            
1.10521             1.85369             0.0759263           0.245218            
1.10501             1.85363             0.0756275           0.24381             
1.10645             1.85769             0.0754913           0.242981            
1.10688             1.85917             0.0752524           0.241816            
1.10716             1.8603              0.0750061           0.240629            
1.10707             1.86047             0.0747299           0.239316            
1.10676             1.86008             0.0744348           0.237933            
1.0879              1.81262             0.0724168           0.230444            
1.08802             1.81336             0.0721837           0.229298            
1.08806             1.81389             0.071948            0.228122            
1.08817             1.8146              0.0717163           0.226986            
1.08775             1.81399             0.0714402           0.225698            
1.08858             1.81651             0.0712787           0.224829            
1.08862             1.81702             0.0710463           0.223689            
1.08769             1.81509             0.0707286           0.222277            
1.08659             1.8127              0.0703942           0.220805            
1.08443             1.80765             0.0699652           0.21902             
1.08384             1.80657             0.0696919           0.217736            
1.08404             1.80747             0.0694894           0.21672             
1.08501             1.81031             0.0693493           0.21596             
1.08486             1.81034             0.0691184           0.214843            
1.08449             1.80978             0.0688713           0.213671            
1.08424             1.80948             0.0686348           0.212539            
1.08388             1.80894             0.0683871           0.211399            
1.08389             1.80935             0.0681725           0.210382            
1.08425             1.81063             0.0679891           0.209474            
1.08419             1.81083             0.0677704           0.208444            
1.08447             1.81189             0.0675857           0.207522            
1.08452             1.81233             0.067383            0.206528            
1.08449             1.8126              0.0671793           0.205529            
1.08446             1.81283             0.066969            0.204539            
1.08436             1.81291             0.0667552           0.203544            
1.08599             1.8174              0.06669             0.203059            
1.08567             1.81689             0.0664546           0.202016            
1.08558             1.81697             0.0662474           0.201035            
1.08569             1.81756             0.0660559           0.20013             
1.08433             1.81439             0.0657377           0.198807            
1.08421             1.81437             0.0655267           0.197846            
1.08446             1.81531             0.0653512           0.197012            
1.08372             1.81371             0.0650924           0.195886            
1.08359             1.81366             0.0648917           0.19495             
1.08358             1.81391             0.0646965           0.194053            
1.08362             1.81428             0.0645132           0.193169            
1.08314             1.81333             0.0642849           0.192158            
1.0827              1.81247             0.0640568           0.19117             
1.08246             1.81213             0.0638491           0.190235            
1.08237             1.81214             0.0636542           0.189349            
1.08268             1.8132              0.0634948           0.188587            
1.08259             1.81323             0.0633063           0.187724            
1.08209             1.81221             0.0630828           0.186743            
1.13445             1.94742             0.0671893           0.200183            
1.13693             1.95403             0.0671618           0.199837            
1.13671             1.95347             0.0669255           0.198805            
1.1359              1.95137             0.066645            0.197644            
1.13609             1.95191             0.0664449           0.196748            
1.13669             1.95352             0.0662749           0.195938            
1.13684             1.95392             0.0660739           0.195025            
1.13645             1.95291             0.0658274           0.193992            
1.13574             1.95104             0.0655622           0.192897            
1.13447             1.94768             0.0652632           0.191665            
1.13413             1.94681             0.0650311           0.190681            
1.1347              1.94835             0.064866            0.189929            
1.13518             1.94963             0.0646936           0.189152            
1.13597             1.95176             0.0645488           0.188456            
