4
e_L                 onsite              nnhop               ospair              nnJastrow           nnnJastrow          
(0.96,0)            (1.0905,0)          (-2.22576,0)        (1.24821,0)         (0.12,0)            (0.165,0)           
(1.08,0)            (0.814961,0)        (-2.09231,0)        (1.38844,0)         (0.135,0)           (0.07,0)            
(1.04,0)            (0.909276,0)        (-2.12055,0)        (1.32192,0)         (0.13,0)            (0.065,0)           
(1.24,0)            (0.738942,0)        (-2.13632,0)        (1.51298,0)         (0.155,0)           (0.105,0)           
(1,0)               (0.860775,0)        (-2.09013,0)        (1.33924,0)         (0.125,0)           (0.055,0)           
(0.48,0)            (0.873968,0)        (-1.96303,0)        (1.19073,0)         (0.06,0)            (0.095,0)           
(0.76,0)            (0.714938,0)        (-1.94657,0)        (1.33599,0)         (0.095,0)           (0.035,0)           
(1.08,0)            (0.895674,0)        (-2.13543,0)        (1.35164,0)         (0.135,0)           (0.09,0)            
(0.88,0)            (0.565037,0)        (-1.91702,0)        (1.45801,0)         (0.11,0)            (0.02,0)            
(1,0)               (0.848879,0)        (-2.06757,0)        (1.32745,0)         (0.125,0)           (0.035,0)           
(0.72,0)            (0.753833,0)        (-1.99162,0)        (1.34405,0)         (0.09,0)            (0.1,0)             
(1,0)               (0.88914,0)         (-2.12178,0)        (1.34383,0)         (0.125,0)           (0.09,0)            
(0.76,0)            (0.730718,0)        (-1.98004,0)        (1.3554,0)          (0.095,0)           (0.085,0)           
(0.88,0)            (0.710364,0)        (-1.95797,0)        (1.35279,0)         (0.11,0)            (0.01,0)            
(0.56,0)            (0.583548,0)        (-1.85374,0)        (1.37185,0)         (0.07,0)            (0.04,0)            
(0.84,0)            (0.731434,0)        (-1.9461,0)         (1.31861,0)         (0.105,0)           (0.01,0)            
(1.12,0)            (0.781454,0)        (-2.10308,0)        (1.43417,0)         (0.14,0)            (0.08,0)            
(0.96,0)            (0.846193,0)        (-2.07092,0)        (1.33376,0)         (0.12,0)            (0.06,0)            
(0.52,0)            (0.701433,0)        (-1.87225,0)        (1.27088,0)         (0.065,0)           (0.04,0)            
(0.84,0)            (0.665772,0)        (-1.92832,0)        (1.36693,0)         (0.105,0)           (-0.005,0)          
(0.68,0)            (0.858577,0)        (-2.00392,0)        (1.24992,0)         (0.085,0)           (0.09,0)            
(1,0)               (0.758515,0)        (-2.04013,0)        (1.39078,0)         (0.125,0)           (0.05,0)            
(0.92,0)            (0.782591,0)        (-2.07015,0)        (1.39803,0)         (0.115,0)           (0.105,0)           
(0.84,0)            (0.737649,0)        (-2.01189,0)        (1.38213,0)         (0.105,0)           (0.09,0)            
(1.04,0)            (0.881188,0)        (-2.14936,0)        (1.38127,0)         (0.13,0)            (0.12,0)            
(1,0)               (1.05471,0)         (-2.21474,0)        (1.27315,0)         (0.125,0)           (0.145,0)           
(1.44,0)            (0.9707,0)          (-2.27986,0)        (1.42828,0)         (0.18,0)            (0.07,0)            
(0.76,0)            (0.723103,0)        (-1.96664,0)        (1.34895,0)         (0.095,0)           (0.06,0)            
(1,0)               (0.865157,0)        (-2.10918,0)        (1.35499,0)         (0.125,0)           (0.1,0)             
(0.24,0)            (0.535748,0)        (-1.73355,0)        (1.2931,0)          (0.03,0)            (0.06,0)            
(0.92,0)            (0.608622,0)        (-1.93649,0)        (1.43408,0)         (0.115,0)           (0.025,0)           
(0.88,0)            (0.85729,0)         (-2.07098,0)        (1.32247,0)         (0.11,0)            (0.1,0)             
(0.76,0)            (0.624299,0)        (-1.87219,0)        (1.34975,0)         (0.095,0)           (-0.02,0)           
