71
e_L                 onsite              nnhop               ospair              nnJastrow           
(0.5,0)             (0.0677059,0)       (-0.391498,0)       (-0.544565,0)       (-0.46,0)           
(0.5,0)             (-0.204623,0)       (-0.481737,0)       (-0.574109,0)       (-0.4,0)            
(0.5,0)             (-0.189327,0)       (-0.384723,0)       (-0.449855,0)       (-0.52,0)           
(0.5,0)             (-0.0544544,0)      (-0.410759,0)       (-0.529527,0)       (-0.46,0)           
(0.5,0)             (-0.0900757,0)      (-0.384841,0)       (-0.483096,0)       (-0.5,0)            
(0.5,0)             (-0.143508,0)       (-0.345964,0)       (-0.41345,0)        (-0.56,0)           
(0.5,0)             (0.0244714,0)       (-0.287945,0)       (-0.392084,0)       (-0.6,0)            
(0.5,0)             (-0.199524,0)       (-0.449399,0)       (-0.532691,0)       (-0.44,0)           
(0.5,0)             (-0.072265,0)       (-0.3978,0)         (-0.506311,0)       (-0.48,0)           
(0.5,0)             (-0.0773638,0)      (-0.430138,0)       (-0.547729,0)       (-0.44,0)           
(0.5,0)             (-0.242829,0)       (-0.598131,0)       (-0.716565,0)       (-0.26,0)           
(0.5,0)             (0.0498952,0)       (-0.378539,0)       (-0.52135,0)        (-0.48,0)           
(0.5,0)             (-0.0493556,0)      (-0.378421,0)       (-0.488109,0)       (-0.5,0)            
(0.5,0)             (-0.191911,0)       (-0.527034,0)       (-0.638742,0)       (-0.34,0)           
(0.5,0)             (0.116109,0)        (-0.210428,0)       (-0.319274,0)       (-0.68,0)           
(0.5,0)             (-0.176615,0)       (-0.43002,0)        (-0.514488,0)       (-0.46,0)           
(0.5,0)             (-0.112985,0)       (-0.40422,0)        (-0.501299,0)       (-0.48,0)           
(0.5,0)             (-0.232631,0)       (-0.533454,0)       (-0.633729,0)       (-0.34,0)           
(0.5,0)             (-0.367503,0)       (-0.507419,0)       (-0.554057,0)       (-0.4,0)            
(0.5,0)             (-0.0976888,0)      (-0.307206,0)       (-0.377045,0)       (-0.6,0)            
(0.5,0)             (-0.107886,0)       (-0.371882,0)       (-0.459881,0)       (-0.52,0)           
(0.5,0)             (-0.0900757,0)      (-0.384841,0)       (-0.483096,0)       (-0.5,0)            
(0.5,0)             (-0.151191,0)       (-0.520614,0)       (-0.643755,0)       (-0.34,0)           
(0.5,0)             (-0.128281,0)       (-0.501234,0)       (-0.625552,0)       (-0.36,0)           
(0.5,0)             (-0.176615,0)       (-0.43002,0)        (-0.514488,0)       (-0.46,0)           
(0.5,0)             (-0.0620675,0)      (-0.333124,0)       (-0.423476,0)       (-0.56,0)           
(0.5,0)             (-0.113055,0)       (-0.656505,0)       (-0.837654,0)       (-0.16,0)           
(0.5,0)             (-0.291162,0)       (-0.526916,0)       (-0.605501,0)       (-0.36,0)           
(0.5,0)             (-0.148606,0)       (-0.378302,0)       (-0.454868,0)       (-0.52,0)           
(0.5,0)             (0.0117596,0)       (-0.242648,0)       (-0.32745,0)        (-0.66,0)           
(0.5,0)             (-0.115499,0)       (-0.294247,0)       (-0.35383,0)        (-0.62,0)           
(0.5,0)             (-0.224948,0)       (-0.358805,0)       (-0.403424,0)       (-0.56,0)           
(0.5,0)             (-0.0289605,0)      (-0.249068,0)       (-0.322438,0)       (-0.66,0)           
(0.5,0)             (-0.263154,0)       (-0.475199,0)       (-0.54588,0)        (-0.42,0)           
(0.5,0)             (-0.253026,0)       (-0.662807,0)       (-0.7994,0)         (-0.18,0)           
(0.5,0)             (-0.0798781,0)      (-0.320165,0)       (-0.40026,0)        (-0.58,0)           
(0.5,0)             (-0.0162486,0)      (-0.294365,0)       (-0.387071,0)       (-0.6,0)            
(0.5,0)             (-0.207137,0)       (-0.371764,0)       (-0.42664,0)        (-0.54,0)           
(0.5,0)             (-0.0315449,0)      (-0.391379,0)       (-0.511324,0)       (-0.48,0)           
(0.5,0)             (-0.0849769,0)      (-0.352503,0)       (-0.441678,0)       (-0.54,0)           
(0.5,0)             (-0.158804,0)       (-0.442979,0)       (-0.537704,0)       (-0.44,0)           
(0.5,0)             (-0.100273,0)       (-0.449517,0)       (-0.565932,0)       (-0.42,0)           
(0.5,0)             (-0.00863552,0)     (-0.372,0)          (-0.493122,0)       (-0.5,0)            
(0.5,0)             (-0.0773638,0)      (-0.430138,0)       (-0.547729,0)       (-0.44,0)           
