13
e_L                 onsite              nnhop               ospair              
(-1.24,0)           (-0.00842593,0)     (-0.000783327,0)    (0.0133988,0)       
(-1.4,0)            (-0.00857174,0)     (-0.000734666,0)    (0.0127279,0)       
(-1.84,0)           (-0.0724475,0)      (-0.000634115,0)    (0.0266776,0)       
(-1.76,0)           (-0.0528445,0)      (-0.0006482,0)      (0.0221531,0)       
(-1.48,0)           (-0.00864464,0)     (-0.000710335,0)    (0.0123924,0)       
(-1.36,0)           (0.0207522,0)       (-0.000731344,0)    (0.00560589,0)      
(-1.48,0)           (-0.0525752,0)      (-0.000733576,0)    (0.023327,0)        
(-1.48,0)           (-0.0135407,0)      (-0.000712687,0)    (0.0136076,0)       
(-1.44,0)           (-0.028137,0)       (-0.000732765,0)    (0.01742,0)         
(-1.48,0)           (-0.0135304,0)      (-0.000712847,0)    (0.0136074,0)       
(-1.68,0)           (0.000925302,0)     (-0.000644187,0)    (0.00912406,0)      
(-1.48,0)           (-0.0135407,0)      (-0.000712687,0)    (0.0136076,0)       
(-1.56,0)           (-0.0233696,0)      (-0.000693619,0)    (0.015702,0)        
(-1.48,0)           (-0.0525906,0)      (-0.000733337,0)    (0.0233272,0)       
(-1.6,0)            (-0.0478207,0)      (-0.00069423,0)     (0.0216091,0)       
(-1.44,0)           (-0.0379111,0)      (-0.000737749,0)    (0.0198501,0)       
(-1.28,0)           (-0.0475265,0)      (-0.000791592,0)    (0.0229509,0)       
(-1.28,0)           (0.0305889,0)       (-0.000750532,0)    (0.00351142,0)      
(-1.6,0)            (-0.0185268,0)      (-0.000678843,0)    (0.0143193,0)       
(-1.68,0)           (-0.0332441,0)      (-0.000662246,0)    (0.0176287,0)       
(-1.68,0)           (0.00580847,0)      (-0.000641636,0)    (0.00790907,0)      
(-1.32,0)           (-0.0133923,0)      (-0.000761388,0)    (0.0142785,0)       
(-1.48,0)           (-0.0525855,0)      (-0.000733417,0)    (0.0233271,0)       
(-1.28,0)           (-0.0279861,0)      (-0.000781506,0)    (0.0180908,0)       
(-1.6,0)            (-0.0136487,0)      (-0.000676212,0)    (0.0131044,0)       
(-1.76,0)           (-0.043091,0)       (-0.000642898,0)    (0.0197234,0)       
(-1.56,0)           (-0.0428946,0)      (-0.000703944,0)    (0.0205618,0)       
(-1,0)              (-0.00820464,0)     (-0.000856358,0)    (0.0144051,0)       
(-1.44,0)           (0.00114402,0)      (-0.000717179,0)    (0.0101304,0)       
(-1.44,0)           (-0.0330253,0)      (-0.000735237,0)    (0.0186351,0)       
(-1.48,0)           (-0.0476997,0)      (-0.000730905,0)    (0.0221121,0)       
(-1.28,0)           (0.0305811,0)       (-0.000750412,0)    (0.00351155,0)      
(-1.44,0)           (-0.0134978,0)      (-0.000724952,0)    (0.0137752,0)       
(-1.24,0)           (-0.0084285,0)      (-0.000783287,0)    (0.0133988,0)       
(-1.68,0)           (-0.0039553,0)      (-0.000646778,0)    (0.010339,0)        
(-0.96,0)           (0.00646976,0)      (-0.00086069,0)     (0.0109281,0)       
(-1.36,0)           (-0.062236,0)       (-0.000775114,0)    (0.0262602,0)       
(-1.44,0)           (0.00114402,0)      (-0.000717179,0)    (0.0101304,0)       
(-1.44,0)           (-0.023259,0)       (-0.000730134,0)    (0.0162051,0)       
(-1.48,0)           (-0.0232916,0)      (-0.000718029,0)    (0.0160373,0)       
(-1.4,0)            (0.0209866,0)       (-0.00105782,0)     (0.0102865,0)       
(-1.6,0)            (-0.028288,0)       (-0.000684025,0)    (0.0167492,0)       
(-1.4,0)            (-0.0183458,0)      (-0.000739649,0)    (0.015158,0)        
(-1.8,0)            (-0.00406594,0)     (-0.000610263,0)    (0.00983584,0)      
(-1.48,0)           (-0.00864978,0)     (-0.000710256,0)    (0.0123925,0)       
(-1.16,0)           (-0.0178446,0)      (-0.00115146,0)     (0.0210125,0)       
(-1.08,0)           (-0.018049,0)       (-0.00083705,0)     (0.0164997,0)       
(-1.44,0)           (-0.00861205,0)     (-0.000722441,0)    (0.0125602,0)       
(-1.6,0)            (-0.0478155,0)      (-0.00069431,0)     (0.021609,0)        
(-1.24,0)           (0.0208525,0)       (-0.0007677,0)      (0.00610922,0)      
(-1.28,0)           (0.0256954,0)       (-0.000752924,0)    (0.00472657,0)      
(-1.4,0)            (0.00607264,0)      (-0.000726932,0)    (0.00908301,0)      
