53
e_L                 onsite              nnhop               ospair              nnJastrow           
(1.05233,0)         (0.330748,0)        (-0.922546,0)       (0.247819,0)        (0.35,0)            
(1.04427,0)         (0.545728,0)        (-1.07759,0)        (0.122757,0)        (0.45,0)            
(1.0499,0)          (0.372044,0)        (-0.952415,0)       (0.22385,0)         (0.38,0)            
(1.05636,0)         (0.278732,0)        (-0.822085,0)       (0.237566,0)        (0.3,0)             
(1.05071,0)         (0.430413,0)        (-0.954262,0)       (0.16399,0)         (0.37,0)            
(1.05313,0)         (0.372539,0)        (-0.888692,0)       (0.18232,0)         (0.34,0)            
(1.04752,0)         (0.479802,0)        (-1.04302,0)        (0.169455,0)        (0.41,0)            
(1.0467,0)          (0.480066,0)        (-1.04058,0)        (0.167612,0)        (0.42,0)            
(1.05069,0)         (0.3695,0)          (-0.936398,0)       (0.216203,0)        (0.37,0)            
(1.05477,0)         (0.360459,0)        (-0.896769,0)       (0.200153,0)        (0.32,0)            
(1.0459,0)          (0.507086,0)        (-1.06246,0)        (0.153434,0)        (0.43,0)            
(1.04672,0)         (0.579834,0)        (-1.08395,0)        (0.0911722,0)       (0.42,0)            
(1.03944,0)         (0.577049,0)        (-1.19464,0)        (0.165328,0)        (0.51,0)            
(1.05235,0)         (0.309596,0)        (-0.940457,0)       (0.28147,0)         (0.35,0)            
(1.04912,0)         (0.401096,0)        (-0.992282,0)       (0.219123,0)        (0.39,0)            
(1.05636,0)         (0.183607,0)        (-0.811314,0)       (0.330128,0)        (0.3,0)             
(1.04752,0)         (0.552815,0)        (-1.06206,0)        (0.105349,0)        (0.41,0)            
(1.0515,0)          (0.318006,0)        (-0.908652,0)       (0.252205,0)        (0.36,0)            
(1.05798,0)         (0.253454,0)        (-0.817596,0)       (0.261117,0)        (0.28,0)            
(1.04586,0)         (0.468505,0)        (-1.03376,0)        (0.175313,0)        (0.43,0)            
(1.04911,0)         (0.450046,0)        (-1.00401,0)        (0.175474,0)        (0.39,0)            
(1.05235,0)         (0.356184,0)        (-0.938044,0)       (0.231189,0)        (0.35,0)            
(1.03862,0)         (0.60198,0)         (-1.19918,0)        (0.142171,0)        (0.52,0)            
(1.04107,0)         (0.598303,0)        (-1.18838,0)        (0.139068,0)        (0.49,0)            
(1.04673,0)         (0.581976,0)        (-1.10065,0)        (0.0996825,0)       (0.42,0)            
(1.04912,0)         (0.485468,0)        (-1.00702,0)        (0.140361,0)        (0.39,0)            
(1.05394,0)         (0.297696,0)        (-0.862794,0)       (0.243932,0)        (0.33,0)            
(1.04667,0)         (0.443683,0)        (-1.02794,0)        (0.19753,0)         (0.42,0)            
(1.04909,0)         (0.363587,0)        (-0.97193,0)        (0.245256,0)        (0.39,0)            
(1.0499,0)          (0.323204,0)        (-0.939405,0)       (0.26656,0)         (0.38,0)            
(1.04752,0)         (0.516157,0)        (-1.05263,0)        (0.137616,0)        (0.41,0)            
(1.05153,0)         (0.344458,0)        (-0.933143,0)       (0.240299,0)        (0.36,0)            
(1.05071,0)         (0.405993,0)        (-0.947757,0)       (0.185345,0)        (0.37,0)            
(1.05237,0)         (0.319665,0)        (-0.930354,0)       (0.264437,0)        (0.35,0)            
(1.04105,0)         (0.568774,0)        (-1.14058,0)        (0.139188,0)        (0.49,0)            
(1.04991,0)         (0.31234,0)         (-0.94465,0)        (0.281299,0)        (0.38,0)            
(1.04347,0)         (0.552831,0)        (-1.12382,0)        (0.145077,0)        (0.46,0)            
(1.06522,0)         (0.0447688,0)       (-0.617066,0)       (0.350323,0)        (0.19,0)            
(1.05474,0)         (0.346189,0)        (-0.875851,0)       (0.201616,0)        (0.32,0)            
(1.04669,0)         (0.538947,0)        (-1.04046,0)        (0.105949,0)        (0.42,0)            
(1.04909,0)         (0.446832,0)        (-0.978954,0)       (0.162708,0)        (0.39,0)            
(1.0483,0)          (0.427154,0)        (-1.00453,0)        (0.199751,0)        (0.4,0)             
(1.04026,0)         (0.623125,0)        (-1.19419,0)        (0.11685,0)         (0.5,0)             
(1.04185,0)         (0.568125,0)        (-1.1408,0)         (0.14001,0)         (0.48,0)            
(1.05235,0)         (0.368312,0)        (-0.942257,0)       (0.221217,0)        (0.35,0)            
(1.04507,0)         (0.520961,0)        (-1.07114,0)        (0.144505,0)        (0.44,0)            
(1.04828,0)         (0.449486,0)        (-0.99369,0)        (0.169416,0)        (0.4,0)             
(1.05073,0)         (0.45692,0)         (-0.978112,0)       (0.151615,0)        (0.37,0)            
(1.0467,0)          (0.504486,0)        (-1.04709,0)        (0.146257,0)        (0.42,0)            
(1.04911,0)         (0.401206,0)        (-0.991001,0)       (0.218184,0)        (0.39,0)            
(1.03785,0)         (0.656578,0)        (-1.25326,0)        (0.119875,0)        (0.53,0)            
(1.04907,0)         (0.264945,0)        (-0.936277,0)       (0.325481,0)        (0.39,0)            
(1.04507,0)         (0.497667,0)        (-1.07234,0)        (0.169646,0)        (0.44,0)            
(1.05152,0)         (0.307911,0)        (-0.922425,0)       (0.271627,0)        (0.36,0)            
(1.05638,0)         (0.258652,0)        (-0.848349,0)       (0.275472,0)        (0.3,0)             
(1.04587,0)         (0.518362,0)        (-1.05576,0)        (0.137328,0)        (0.43,0)            
(1.06276,0)         (0.00273683,0)      (-0.637523,0)       (0.407451,0)        (0.22,0)            
(1.05473,0)         (0.246367,0)        (-0.833127,0)       (0.278525,0)        (0.32,0)            
(1.04827,0)         (0.316439,0)        (-0.964023,0)       (0.289479,0)        (0.4,0)             
(1.0499,0)          (0.384282,0)        (-0.955347,0)       (0.212938,0)        (0.38,0)            
(1.04913,0)         (0.439896,0)        (-1.01842,0)        (0.195366,0)        (0.39,0)            
(1.04588,0)         (0.495013,0)        (-1.05761,0)        (0.162938,0)        (0.43,0)            
(1.04506,0)         (0.507762,0)        (-1.05857,0)        (0.150223,0)        (0.44,0)            
(1.04508,0)         (0.500935,0)        (-1.09676,0)        (0.181942,0)        (0.44,0)            
(1.04829,0)         (0.390606,0)        (-0.993811,0)       (0.231079,0)        (0.4,0)             
(1.04022,0)         (0.486974,0)        (-1.13819,0)        (0.223208,0)        (0.5,0)             
(1.05477,0)         (0.202828,0)        (-0.862519,0)       (0.34298,0)         (0.32,0)            
(1.05313,0)         (0.204977,0)        (-0.866293,0)       (0.343161,0)        (0.34,0)            
(1.05313,0)         (0.375863,0)        (-0.912468,0)       (0.194147,0)        (0.34,0)            
(1.0451,0)          (0.536302,0)        (-1.10041,0)        (0.147298,0)        (0.44,0)            
(1.05312,0)         (0.313769,0)        (-0.887533,0)       (0.243044,0)        (0.34,0)            
(1.04828,0)         (0.38959,0)         (-0.984819,0)       (0.226354,0)        (0.4,0)             
(1.04346,0)         (0.621642,0)        (-1.11185,0)        (0.0654008,0)       (0.46,0)            
(1.05231,0)         (0.265688,0)        (-0.87302,0)        (0.283992,0)        (0.35,0)            
